도,시,군/구,행정코드,2018년_총인구수,2019년_총인구수,2020년_총인구수,2021년_총인구수,2022년_총인구수
,서울특별시,종로구,1111000000,153065,151290,149384,144683,141379
,서울특별시,중구,1114000000,125725,126171,125240,122499,120437
,서울특별시,용산구,1117000000,228999,228670,230040,222953,218650
,서울특별시,성동구,1120000000,308221,300889,293556,285990,281000
,서울특별시,광진구,1121500000,355559,351350,346682,339996,337416
,서울특별시,동대문구,1123000000,348052,346194,342837,337400,336644
,서울특별시,중랑구,1126000000,403209,397015,394702,387350,385318
,서울특별시,성북구,1129000000,435868,442650,437153,430528,430397
,서울특별시,강북구,1130500000,319164,313954,308055,299182,293660
,서울특별시,도봉구,1132000000,339413,333362,325257,317366,311694
,서울특별시,노원구,1135000000,543752,532905,523037,510956,503734
,서울특별시,은평구,1138000000,483197,480032,479835,473307,466746
,서울특별시,서대문구,1141000000,310313,309397,312173,304819,306337
,서울특별시,마포구,1144000000,375077,374035,371890,368905,364638
,서울특별시,양천구,1147000000,464185,458165,454251,447302,440881
,서울특별시,강서구,1150000000,596949,591796,580185,574315,569166
,서울특별시,구로구,1153000000,404497,406664,404408,396754,395315
,서울특별시,금천구,1154500000,233917,232810,231733,230811,229642
,서울특별시,영등포구,1156000000,367778,367678,379480,376837,375675
,서울특별시,동작구,1159000000,396203,395963,391220,385483,380596
,서울특별시,관악구,1162000000,501957,500094,495060,485699,486752
,서울특별시,서초구,1165000000,433951,430826,425126,412279,404325
,서울특별시,강남구,1168000000,542364,545169,539231,533042,529102
,서울특별시,송파구,1171000000,666635,675961,667960,658338,658801
,서울특별시,강동구,1174000000,427573,436067,459970,462664,460067
,부산광역시,중구,2611000000,42795,41910,41523,40524,39689
,부산광역시,서구,2614000000,110534,108229,108135,105164,105192
,부산광역시,동구,2617000000,86912,88165,88901,87679,86462
,부산광역시,영도구,2620000000,120109,116711,113342,110638,108156
,부산광역시,부산진구,2623000000,362357,357880,359886,353159,355917
,부산광역시,동래구,2626000000,266515,271247,270745,266866,273226
,부산광역시,남구,2629000000,279917,274480,267731,262069,256333
,부산광역시,북구,2632000000,296952,291132,283952,283211,278857
,부산광역시,해운대구,2635000000,409347,406102,402169,396438,386785
,부산광역시,사하구,2638000000,327791,321004,311757,306003,301987
,부산광역시,금정구,2641000000,242956,239062,232666,228049,221256
,부산광역시,강서구,2644000000,122957,129566,137957,142918,143207
,부산광역시,연제구,2647000000,207840,209395,209157,207144,203536
,부산광역시,수영구,2650000000,176246,176148,176894,175095,174806
,부산광역시,사상구,2653000000,223361,218094,212586,208298,203789
,부산광역시,기장군,2671000000,164864,164716,174545,177125,178614
,대구광역시,중구,2711000000,79401,77421,76547,74791,80199
,대구광역시,동구,2714000000,351291,345469,341920,341436,339530
,대구광역시,서구,2717000000,184372,175277,170700,164528,159827
,대구광역시,남구,2720000000,150501,148113,146632,143175,141519
,대구광역시,북구,2723000000,439489,437710,440263,437008,430912
,대구광역시,수성구,2726000000,432759,428614,424314,417097,411553
,대구광역시,달서구,2729000000,573413,568887,558631,544926,536989
,대구광역시,달성군,2771000000,250543,256540,259339,262451,263162
,인천광역시,중구,2811000000,122499,135135,139729,143633,152931
,인천광역시,동구,2814000000,66233,64427,62542,61486,58999
,인천광역시,미추홀구,2817700000,416542,408862,404343,407464,406004
,인천광역시,연수구,2818500000,346359,366550,387450,389644,385796
,인천광역시,남동구,2820000000,537161,532704,525354,518272,506181
,인천광역시,부평구,2823700000,524640,511577,494962,486765,489118
,인천광역시,계양구,2824500000,312680,303471,296750,295696,288856
,인천광역시,서구,2826000000,538596,544556,542040,555380,589013
,인천광역시,강화군,2871000000,68896,69178,69203,69693,69803
,인천광역시,옹진군,2872000000,21036,20566,20455,20342,20613
,광주광역시,동구,2911000000,94475,98585,102897,103470,105909
,광주광역시,서구,2914000000,304172,300975,296576,291231,287401
,광주광역시,남구,2915500000,216369,218060,214579,215575,212379
,광주광역시,북구,2917000000,439773,433533,430431,427114,424707
,광주광역시,광산구,2920000000,404547,405315,405579,404221,400654
,대전광역시,동구,3011000000,229071,226771,223021,222222,219751
,대전광역시,중구,3014000000,244421,240473,235550,230341,227108
,대전광역시,서구,3017000000,484663,481222,477880,473365,470374
,대전광역시,유성구,3020000000,349790,349373,351047,351277,356093
,대전광역시,대덕구,3023000000,181991,177031,176384,175046,172746
,울산광역시,중구,3111000000,231973,223581,217595,212883,208132
,울산광역시,남구,3114000000,330732,323819,320064,313819,310638
,울산광역시,동구,3117000000,164642,159656,156806,154096,151711
,울산광역시,북구,3120000000,206434,217796,219014,218735,218670
,울산광역시,울주군,3171000000,221842,223167,222538,222059,221512
,세종특별자치시,,3611000000,314126,340575,355831,371895,383591
경기도,수원시,장안구,4111100000,286433,278377,273661,273835,270524
