행정구역별,2018,2019,2020,2021,2022
서울 종로구,59.6,60.0,59.3,54.45,54.9
서울 중구,59.6,60.0,59.3,55.5,57.75
서울 용산구,59.6,60.0,59.3,59.3,60.0
서울 성동구,59.6,60.0,59.3,56.3,59.2
서울 광진구,59.6,60.0,59.3,56.85,59.75
서울 동대문구,59.6,60.0,59.3,54.5,53.95
서울 중랑구,59.6,60.0,59.3,54.85,56.75
서울 성북구,59.6,60.0,59.3,52.5,54.25
서울 강북구,59.6,60.0,59.3,51.8,53.05
서울 도봉구,59.6,60.0,59.3,53.55,55.150000000000006
서울 노원구,59.6,60.0,59.3,53.900000000000006,55.55
서울 은평구,59.6,60.0,59.3,55.35,56.1
서울 서대문구,59.6,60.0,59.3,53.0,54.5
서울 마포구,59.6,60.0,59.3,59.8,60.65
서울 양천구,59.6,60.0,59.3,55.900000000000006,57.900000000000006
서울 강서구,59.6,60.0,59.3,57.650000000000006,60.0
서울 구로구,59.6,60.0,59.3,58.15,60.95
서울 금천구,59.6,60.0,59.3,58.3,61.1
서울 영등포구,59.6,60.0,59.3,58.75,61.9
서울 동작구,59.6,60.0,59.3,55.8,57.4
서울 관악구,59.6,60.0,59.3,54.400000000000006,58.400000000000006
서울 서초구,59.6,60.0,59.3,55.349999999999994,57.599999999999994
서울 강남구,59.6,60.0,59.3,57.4,57.25
서울 송파구,59.6,60.0,59.3,57.5,58.95
서울 강동구,59.6,60.0,59.3,59.1,60.25
부산 중구,55.7,56.6,55.6,51.25,54.95
부산 서구,55.7,56.6,55.6,50.4,51.15
부산 동구,55.7,56.6,55.6,49.4,51.05
부산 영도구,55.7,56.6,55.6,46.35,49.65
부산 부산진구,55.7,56.6,55.6,53.1,54.2
부산 동래구,55.7,56.6,55.6,52.9,53.75
부산 남구,55.7,56.6,55.6,49.6,52.5
부산 북구,55.7,56.6,55.6,51.45,53.55
부산 해운대구,55.7,56.6,55.6,51.900000000000006,53.3
부산 사하구,55.7,56.6,55.6,53.35,54.5
부산 금정구,55.7,56.6,55.6,50.35,51.2
부산 강서구,55.7,56.6,55.6,63.2,64.85
부산 연제구,55.7,56.6,55.6,53.0,55.1
부산 수영구,55.7,56.6,55.6,52.8,54.7
부산 사상구,55.7,56.6,55.6,54.7,56.7
부산 기장군,55.7,56.6,55.6,57.25,56.849999999999994
대구 중구,58.2,57.9,56.6,56.25,57.599999999999994
대구 동구,58.2,57.9,56.6,53.95,55.8
대구 서구,58.2,57.9,56.6,51.65,52.45
대구 남구,58.2,57.9,56.6,49.5,50.7
대구 북구,58.2,57.9,56.6,53.75,55.650000000000006
대구 수성구,58.2,57.9,56.6,53.0,53.15
대구 달서구,58.2,57.9,56.6,54.85,55.599999999999994
대구 달성군,58.2,57.9,56.6,61.75,63.0
인천 중구,62.9,62.5,61.3,59.900000000000006,60.55
인천 동구,62.9,62.5,61.3,57.45,56.650000000000006
인천 연수구,62.9,62.5,61.3,58.599999999999994,59.4
인천 남동구,62.9,62.5,61.3,57.6,59.1
인천 부평구,62.9,62.5,61.3,58.2,60.55
인천 계양구,62.9,62.5,61.3,59.349999999999994,61.45
인천 서구,62.9,62.5,61.3,61.400000000000006,63.599999999999994
인천 미추홀구,62.9,62.5,61.3,58.05,59.9
인천 강화군,62.9,62.5,61.3,66.35,65.1
인천 옹진군,62.9,62.5,61.3,78.6,76.19999999999999
광주 동구,59.4,59.3,58.7,55.05,56.5
광주 서구,59.4,59.3,58.7,59.8,59.4
광주 남구,59.4,59.3,58.7,57.05,58.3
광주 북구,59.4,59.3,58.7,55.099999999999994,55.55
광주 광산구,59.4,59.3,58.7,60.8,61.25
대전 동구,58.7,59.8,60.7,52.9,53.7
대전 중구,58.7,59.8,60.7,57.5,57.95
대전 서구,58.7,59.8,60.7,59.45,59.45
대전 유성구,58.7,59.8,60.7,60.599999999999994,63.35
대전 대덕구,58.7,59.8,60.7,57.4,59.75
울산 중구,59.0,59.1,58.1,54.75,55.15
