시도,시군구,행정번호,년도,총인구수,고용률
서울특별시,서울종로구,1111000000,2018,153065,59.6
서울특별시,서울중구,1114000000,2018,125725,59.6
서울특별시,서울용산구,1117000000,2018,228999,59.6
서울특별시,서울성동구,1120000000,2018,308221,59.6
서울특별시,서울광진구,1121500000,2018,355559,59.6
서울특별시,서울동대문구,1123000000,2018,348052,59.6
서울특별시,서울중랑구,1126000000,2018,403209,59.6
서울특별시,서울성북구,1129000000,2018,435868,59.6
서울특별시,서울강북구,1130500000,2018,319164,59.6
서울특별시,서울도봉구,1132000000,2018,339413,59.6
서울특별시,서울노원구,1135000000,2018,543752,59.6
서울특별시,서울은평구,1138000000,2018,483197,59.6
서울특별시,서울서대문구,1141000000,2018,310313,59.6
서울특별시,서울마포구,1144000000,2018,375077,59.6
서울특별시,서울양천구,1147000000,2018,464185,59.6
서울특별시,서울강서구,1150000000,2018,596949,59.6
서울특별시,서울구로구,1153000000,2018,404497,59.6
서울특별시,서울금천구,1154500000,2018,233917,59.6
서울특별시,서울영등포구,1156000000,2018,367778,59.6
서울특별시,서울동작구,1159000000,2018,396203,59.6
서울특별시,서울관악구,1162000000,2018,501957,59.6
서울특별시,서울서초구,1165000000,2018,433951,59.6
서울특별시,서울강남구,1168000000,2018,542364,59.6
서울특별시,서울송파구,1171000000,2018,666635,59.6
서울특별시,서울강동구,1174000000,2018,427573,59.6
부산광역시,부산중구,2611000000,2018,42795,55.7
부산광역시,부산서구,2614000000,2018,110534,55.7
부산광역시,부산동구,2617000000,2018,86912,55.7
부산광역시,부산영도구,2620000000,2018,120109,55.7
부산광역시,부산부산진구,2623000000,2018,362357,55.7
부산광역시,부산동래구,2626000000,2018,266515,55.7
부산광역시,부산남구,2629000000,2018,279917,55.7
부산광역시,부산북구,2632000000,2018,296952,55.7
부산광역시,부산해운대구,2635000000,2018,409347,55.7
부산광역시,부산사하구,2638000000,2018,327791,55.7
부산광역시,부산금정구,2641000000,2018,242956,55.7
부산광역시,부산강서구,2644000000,2018,122957,55.7
부산광역시,부산연제구,2647000000,2018,207840,55.7
부산광역시,부산수영구,2650000000,2018,176246,55.7
부산광역시,부산사상구,2653000000,2018,223361,55.7
부산광역시,부산기장군,2671000000,2018,164864,55.7
대구광역시,대구중구,2711000000,2018,79401,58.2
대구광역시,대구동구,2714000000,2018,351291,58.2
대구광역시,대구서구,2717000000,2018,184372,58.2
대구광역시,대구남구,2720000000,2018,150501,58.2
대구광역시,대구북구,2723000000,2018,439489,58.2
대구광역시,대구수성구,2726000000,2018,432759,58.2
대구광역시,대구달서구,2729000000,2018,573413,58.2
대구광역시,대구달성군,2771000000,2018,250543,58.2
인천광역시,인천중구,2811000000,2018,122499,62.9
인천광역시,인천동구,2814000000,2018,66233,62.9
인천광역시,인천미추홀구,2817700000,2018,416542,62.9
인천광역시,인천연수구,2818500000,2018,346359,62.9
인천광역시,인천남동구,2820000000,2018,537161,62.9
인천광역시,인천부평구,2823700000,2018,524640,62.9
인천광역시,인천계양구,2824500000,2018,312680,62.9
인천광역시,인천서구,2826000000,2018,538596,62.9
인천광역시,인천강화군,2871000000,2018,68896,62.9
인천광역시,인천옹진군,2872000000,2018,21036,62.9
광주광역시,광주동구,2911000000,2018,94475,59.4
광주광역시,광주서구,2914000000,2018,304172,59.4
광주광역시,광주남구,2915500000,2018,216369,59.4
광주광역시,광주북구,2917000000,2018,439773,59.4
광주광역시,광주광산구,2920000000,2018,404547,59.4
대전광역시,대전동구,3011000000,2018,229071,58.7
대전광역시,대전중구,3014000000,2018,244421,58.7
대전광역시,대전서구,3017000000,2018,484663,58.7
대전광역시,대전유성구,3020000000,2018,349790,58.7
대전광역시,대전대덕구,3023000000,2018,181991,58.7
울산광역시,울산중구,3111000000,2018,231973,59
울산광역시,울산남구,3114000000,2018,330732,59
울산광역시,울산동구,3117000000,2018,164642,59
울산광역시,울산북구,3120000000,2018,206434,59
울산광역시,울산울주군,3171000000,2018,221842,59
세종특별자치시,세종시,3611000000,2018,314126,61.8
경기도,경기수원장안구,4111100000,2018,286433,59.75
경기도,경기수원권선구,4111300000,2018,377647,59.75
경기도,경기수원팔달구,4111500000,2018,180974,59.75
경기도,경기수원영통구,4111700000,2018,356112,59.75
경기도,경기성남수정구,4113100000,2018,234133,58.35
경기도,경기성남중원구,4113300000,2018,224885,58.35
경기도,경기성남분당구,4113500000,2018,495329,58.35
경기도,경기의정부시,4115000000,2018,447026,55.8
경기도,경기안양만안구,4117100000,2018,251512,58.35
경기도,경기안양동안구,4117300000,2018,325319,58.35
경기도,경기부천시,4119000000,2018,843768,58.95
경기도,경기광명시,4121000000,2018,326841,58.35
경기도,경기평택시,4122000000,2018,495642,60.35
경기도,경기동두천시,4125000000,2018,96226,54.85
경기도,경기안산상록구,4127100000,2018,356311,60.1
경기도,경기안산단원구,4127300000,2018,304032,60.1
경기도,경기고양덕양구,4128100000,2018,450449,56.75
경기도,경기고양일산동구,4128500000,2018,296223,56.75
경기도,경기고양일산서구,4128700000,2018,297517,56.75
경기도,경기과천시,4129000000,2018,58142,52.1
경기도,경기구리시,4131000000,2018,203553,58.9
경기도,경기남양주시,4136000000,2018,681828,54.3
경기도,경기오산시,4137000000,2018,220070,62.75
경기도,경기시흥시,4139000000,2018,448687,61.35
경기도,경기군포시,4141000000,2018,276916,58.05
경기도,경기의왕시,4143000000,2018,153932,58.45
경기도,경기하남시,4145000000,2018,254415,60.4
경기도,경기용인처인구,4146100000,2018,249118,56.2
경기도,경기용인기흥구,4146300000,2018,427719,56.2
경기도,경기용인수지구,4146500000,2018,358289,56.2
경기도,경기파주시,4148000000,2018,451848,60.5
경기도,경기이천시,4150000000,2018,214206,65.35
경기도,경기안성시,4155000000,2018,183579,64.75
경기도,경기김포시,4157000000,2018,423170,58.6
경기도,경기화성시,4159000000,2018,758722,64.45
경기도,경기광주시,4161000000,2018,363782,63
경기도,경기양주시,4163000000,2018,216951,56.15
경기도,경기포천시,4165000000,2018,150676,64.1
경기도,경기여주시,4167000000,2018,111525,59.35
경기도,경기연천군,4180000000,2018,44633,61.2
경기도,경기가평군,4182000000,2018,62918,59.95
경기도,경기양평군,4183000000,2018,116095,59.4
강원도,강원춘천시,4211000000,2018,280640,57.85
강원도,강원원주시,4213000000,2018,344070,59.95
강원도,강원강릉시,4215000000,2018,212957,58.2
강원도,강원동해시,4217000000,2018,91272,60.3
강원도,강원태백시,4219000000,2018,44858,58.8
강원도,강원속초시,4221000000,2018,81682,60.2
강원도,강원삼척시,4223000000,2018,68326,56.5
강원도,강원홍천군,4272000000,2018,69949,63.95
강원도,강원횡성군,4273000000,2018,46726,66.45
