년도,시도,시군구,우울증환자수,1인당 정신건강예산(원),공공시설개수
2018,강원,강릉시,4360,7147,163
2018,강원,고성군,0,7147,59
2018,강원,동해시,1337,7147,11
2018,강원,삼척시,1059,7147,49
2018,강원,속초시,1459,7147,92
2018,강원,양구군,30,7147,10
2018,강원,양양군,25,7147,18
2018,강원,영월군,258,7147,42
2018,강원,원주시,8382,7147,193
2018,강원,인제군,23,7147,32
2018,강원,정선군,19,7147,65
2018,강원,철원군,17,7147,45
2018,강원,춘천시,5074,7147,277
2018,강원,태백시,240,7147,45
2018,강원,평창군,161,7147,50
2018,강원,홍천군,1385,7147,49
2018,강원,화천군,33,7147,32
2018,강원,횡성군,101,7147,64
2018,경기,가평군,501,4376,15
2018,경기,고양덕양구,3760,4376,123
2018,경기,고양일산동구,8003,4376,78
2018,경기,고양일산서구,6853,4376,63
2018,경기,과천시,67,4376,23
2018,경기,광명시,3662,4376,88
2018,경기,광주시,3419,4376,56
2018,경기,구리시,3631,4376,68
2018,경기,군포시,3542,4376,128
2018,경기,김포시,2392,4376,191
2018,경기,남양주시,5697,4376,181
2018,경기,동두천시,1610,4376,43
2018,경기,부천시,13981,4376,196
2018,경기,성남분당구,20184,4376,147
2018,경기,성남수정구,3803,4376,28
2018,경기,성남중원구,2849,4376,46
2018,경기,수원권선구,2114,4376,147
2018,경기,수원영통구,5113,4376,93
2018,경기,수원장안구,3402,4376,60
2018,경기,수원팔달구,9645,4376,45
2018,경기,시흥시,3766,4376,144
2018,경기,안산단원구,7393,4376,91
2018,경기,안산상록구,2899,4376,108
2018,경기,안성시,929,4376,57
2018,경기,안양동안구,8645,4376,85
2018,경기,안양만안구,3617,4376,55
2018,경기,양주시,828,4376,101
2018,경기,양평군,764,4376,37
2018,경기,여주시,1783,4376,23
2018,경기,연천군,377,4376,18
2018,경기,오산시,2779,4376,112
2018,경기,용인기흥구,4460,4376,152
2018,경기,용인수지구,3658,4376,95
2018,경기,용인처인구,2290,4376,40
2018,경기,의왕시,843,4376,81
2018,경기,의정부시,10055,4376,113
2018,경기,이천시,4088,4376,38
2018,경기,파주시,2934,4376,162
2018,경기,평택시,5911,4376,538
2018,경기,포천시,541,4376,47
2018,경기,하남시,1495,4376,48
2018,경기,화성시,3651,4376,612
2018,경남,거제시,2135,2758,67
2018,경남,거창군,926,2758,16
2018,경남,고성군,207,2758,15
2018,경남,김해시,5330,2758,230
2018,경남,남해군,141,2758,2
2018,경남,밀양시,636,2758,33
2018,경남,사천시,720,2758,13
2018,경남,산청군,50,2758,13
2018,경남,양산시,4084,2758,148
2018,경남,의령군,73,2758,30
2018,경남,진주시,6433,2758,130
2018,경남,창녕군,509,2758,14
2018,경남,창원마산합포구,3260,2758,72
2018,경남,창원마산회원구,3314,2758,63
2018,경남,창원성산구,3680,2758,93
2018,경남,창원의창구,1669,2758,124
2018,경남,창원진해구,1312,2758,90
2018,경남,통영시,1486,2758,42
2018,경남,하동군,281,2758,4
2018,경남,함안군,277,2758,31
2018,경남,함양군,219,2758,6
2018,경남,합천군,193,2758,18
2018,경북,경산시,3170,4121,119
2018,경북,경주시,4554,4121,61
2018,경북,고령군,12,4121,4
2018,경북,구미시,5616,4121,181
2018,경북,군위군,66,4121,7
2018,경북,김천시,3133,4121,35
2018,경북,문경시,2414,4121,31
2018,경북,봉화군,128,4121,6
2018,경북,상주시,821,4121,52
2018,경북,성주군,70,4121,17
2018,경북,안동시,2648,4121,106
2018,경북,영덕군,210,4121,24
2018,경북,영양군,0,4121,4
2018,경북,영주시,1414,4121,69
2018,경북,영천시,1531,4121,25
2018,경북,예천군,134,4121,44
2018,경북,울릉군,0,4121,16
2018,경북,울진군,159,4121,18
2018,경북,의성군,183,4121,13
2018,경북,청도군,374,4121,9
2018,경북,청송군,98,4121,2
2018,경북,칠곡군,500,4121,50
2018,경북,포항남구,2662,4121,82
2018,경북,포항북구,4876,4121,85
2018,광주,광주광산구,5867,7995,366
2018,광주,광주남구,3088,7995,53
2018,광주,광주동구,4746,7995,83
2018,광주,광주북구,6789,7995,216
2018,광주,광주서구,3173,7995,168
2018,대구,대구남구,3703,3788,23
2018,대구,대구달서구,10385,3788,186
2018,대구,대구달성군,1199,3788,102
2018,대구,대구동구,5813,3788,109
2018,대구,대구북구,5189,3788,101
2018,대구,대구서구,2874,3788,21
2018,대구,대구수성구,9566,3788,87
2018,대구,대구중구,6044,3788,23
2018,대전,대전대덕구,2683,6716,84
2018,대전,대전동구,3117,6716,53
2018,대전,대전서구,10943,6716,115
2018,대전,대전유성구,3552,6716,161
2018,대전,대전중구,7810,6716,53
2018,부산,부산강서구,228,3872,88
2018,부산,부산금정구,2710,3872,40
2018,부산,부산기장군,2410,3872,131
2018,부산,부산남구,3054,3872,35
2018,부산,부산동구,5094,3872,7
2018,부산,부산동래구,5819,3872,45
2018,부산,부산북구,3669,3872,77
2018,부산,부산사상구,2773,3872,34
2018,부산,부산사하구,4083,3872,59
2018,부산,부산서구,2937,3872,6
2018,부산,부산수영구,8094,3872,20
2018,부산,부산연제구,4080,3872,28
2018,부산,부산영도구,2035,3872,16
2018,부산,부산중구,2243,3872,5
2018,부산,부산진구,10813,3872,27
2018,부산,부산해운대구,6655,3872,75
2018,서울,강남구,21672,5326,133
2018,서울,강동구,14858,5326,75
2018,서울,강북구,3002,5326,57
2018,서울,강서구,6220,5326,150
2018,서울,관악구,7717,5326,79
2018,서울,광진구,6917,5326,47
2018,서울,구로구,8525,5326,60
2018,서울,금천구,3079,5326,54
2018,서울,노원구,8952,5326,182
2018,서울,도봉구,2810,5326,72
2018,서울,동대문구,8382,5326,50
2018,서울,동작구,9006,5326,55
2018,서울,마포구,11217,5326,89
2018,서울,서대문구,7653,5326,57
2018,서울,서초구,15234,5326,139
2018,서울,성동구,3657,5326,50
2018,서울,성북구,5728,5326,51
2018,서울,송파구,12986,5326,145
2018,서울,양천구,5366,5326,98
2018,서울,영등포구,6891,5326,54
2018,서울,용산구,2370,5326,53
2018,서울,은평구,6134,5326,111
2018,서울,종로구,14837,5326,44
2018,서울,중구,4352,5326,42
2018,서울,중랑구,5718,5326,61
2018,세종,세종시,4062,3513,73
2018,울산,울산남구,8872,3836,118
2018,울산,울산동구,1542,3836,66
2018,울산,울산북구,533,3836,55
2018,울산,울산울주군,971,3836,107
2018,울산,울산중구,2588,3836,116
2018,인천,인천강화군,300,3151,4
2018,인천,인천계양구,4343,3151,60
2018,인천,인천남동구,8486,3151,160
2018,인천,인천동구,724,3151,14
2018,인천,인천미추홀구,5451,3151,34
2018,인천,인천부평구,11108,3151,94
2018,인천,인천서구,7344,3151,140
2018,인천,인천연수구,3671,3151,111
2018,인천,인천옹진군,0,3151,0
2018,인천,인천중구,4286,3151,129
2018,전남,강진군,377,4306,11
2018,전남,고흥군,1870,4306,25
2018,전남,곡성군,53,4306,17
2018,전남,광양시,772,4306,159
2018,전남,구례군,59,4306,3
2018,전남,나주시,1045,4306,99
2018,전남,담양군,243,4306,126
2018,전남,목포시,4919,4306,100
2018,전남,무안군,731,4306,27
2018,전남,보성군,276,4306,18
2018,전남,순천시,3076,4306,164
2018,전남,신안군,18,4306,10
2018,전남,여수시,2890,4306,161
2018,전남,영광군,597,4306,5
2018,전남,영암군,126,4306,10
2018,전남,완도군,40,4306,11
2018,전남,장성군,276,4306,29
2018,전남,장흥군,163,4306,12
2018,전남,진도군,49,4306,10
2018,전남,함평군,64,4306,14
2018,전남,해남군,1491,4306,57
2018,전남,화순군,685,4306,10
2018,전북,고창군,700,7554,19
2018,전북,군산시,3050,7554,154
2018,전북,김제시,1442,7554,1
2018,전북,남원시,2121,7554,16
2018,전북,무주군,18,7554,11
2018,전북,부안군,895,7554,36
2018,전북,순창군,266,7554,2
2018,전북,완주군,590,7554,66
2018,전북,익산시,3559,7554,109
2018,전북,임실군,17,7554,12
2018,전북,장수군,64,7554,6
2018,전북,전주덕진구,6666,7554,111
2018,전북,전주완산구,7221,7554,141
2018,전북,정읍시,1047,7554,15
2018,전북,진안군,133,7554,6
