시도,시군구,행정번호,년도,평균연령,스트레스인지율
서울특별시,서울종로구,1111000000,2018,44.2,34.2
서울특별시,서울중구,1114000000,2018,44.6,28.3
서울특별시,서울용산구,1117000000,2018,43.6,20
서울특별시,서울성동구,1120000000,2018,42,31.3
서울특별시,서울광진구,1121500000,2018,41.4,29.4
서울특별시,서울동대문구,1123000000,2018,43.3,28
서울특별시,서울중랑구,1126000000,2018,43.5,32.8
서울특별시,서울성북구,1129000000,2018,42.5,29.5
서울특별시,서울강북구,1130500000,2018,44.7,31
서울특별시,서울도봉구,1132000000,2018,43.9,28.9
서울특별시,서울노원구,1135000000,2018,41.9,26.1
서울특별시,서울은평구,1138000000,2018,43.1,22.9
서울특별시,서울서대문구,1141000000,2018,43,25.8
서울특별시,서울마포구,1144000000,2018,41.2,16.6
서울특별시,서울양천구,1147000000,2018,41,29.3
서울특별시,서울강서구,1150000000,2018,41.4,33.2
서울특별시,서울구로구,1153000000,2018,42.5,24.5
서울특별시,서울금천구,1154500000,2018,43.4,30.7
서울특별시,서울영등포구,1156000000,2018,42.5,27.8
서울특별시,서울동작구,1159000000,2018,42.1,36.1
서울특별시,서울관악구,1162000000,2018,41.7,25.3
서울특별시,서울서초구,1165000000,2018,40.4,34.1
서울특별시,서울강남구,1168000000,2018,40.5,32.5
서울특별시,서울송파구,1171000000,2018,40.7,16.1
서울특별시,서울강동구,1174000000,2018,42.1,24.1
부산광역시,부산중구,2611000000,2018,48.9,24.8
부산광역시,부산서구,2614000000,2018,47.3,21.4
부산광역시,부산동구,2617000000,2018,48.6,26.9
부산광역시,부산영도구,2620000000,2018,48.4,25.2
부산광역시,부산부산진구,2623000000,2018,44.4,25.8
부산광역시,부산동래구,2626000000,2018,43.5,19.2
부산광역시,부산남구,2629000000,2018,43.9,28.1
부산광역시,부산북구,2632000000,2018,43,20.1
부산광역시,부산해운대구,2635000000,2018,42.9,21.3
부산광역시,부산사하구,2638000000,2018,43.6,23.1
부산광역시,부산금정구,2641000000,2018,44.8,21.8
부산광역시,부산강서구,2644000000,2018,38.4,29
부산광역시,부산연제구,2647000000,2018,43.8,29.6
부산광역시,부산수영구,2650000000,2018,45.1,30.1
부산광역시,부산사상구,2653000000,2018,44,27.1
부산광역시,부산기장군,2671000000,2018,40.5,23.6
대구광역시,대구중구,2711000000,2018,44.4,27.6
대구광역시,대구동구,2714000000,2018,43.7,21.3
대구광역시,대구서구,2717000000,2018,46.5,16.5
대구광역시,대구남구,2720000000,2018,46.7,22.9
대구광역시,대구북구,2723000000,2018,41,24.4
대구광역시,대구수성구,2726000000,2018,41.6,21.4
대구광역시,대구달서구,2729000000,2018,41.2,25.3
대구광역시,대구달성군,2771000000,2018,39.3,26.2
인천광역시,인천중구,2811000000,2018,41.5,30.7
인천광역시,인천동구,2814000000,2018,45.3,30.6
인천광역시,인천미추홀구,2817700000,2018,42.7,36.8
인천광역시,인천연수구,2818500000,2018,38.7,29.9
인천광역시,인천남동구,2820000000,2018,40.5,29.5
인천광역시,인천부평구,2823700000,2018,41.7,32.6
인천광역시,인천계양구,2824500000,2018,41.2,27.7
인천광역시,인천서구,2826000000,2018,38.9,33.2
