title,text
진단 뒤 자살사망까지 4.5년...우울증 조기 개입 중요한 이유,자살사망자 중 우울장애 진단을 받았던 이들이 진단이후 사망까지 걸리는 기간이 평균 4.5년에 불과한 것으로 나타났다. 한국생명존중희망재단이 최근 발표한 '우울장애 진단-자살사망 기간에 영향을 미치는 요인 연구' 보고서에 따르면 전체연구 대상자의 11%는 우울장애 진단을 받고 1개월 이내 자살사망...
폐지 수집 노인 39%가 우울증,폐지 수집 노인 중 우울 증세를 보이는 비율이 39.4%였다. 일반 노인의 우울 증세는 13.5% 정도다. ‘건강하지 않다’고 답한 비율도 32.7%였다. 폐지 수집 노인 22%는 활동 중 부상당한 경험이 있었으며 6.3%는 교통사고를 당하기도 했다. 폐지 줍는 노인 중 85.3%는 경제적 지원이 가장 필요하다고 밝혔다. 36....
"‘젊은 치매’, 유전자보다 우울증 - 술이 더 위험","일어섰을 때 어지럼증을 느끼는 등의 증세가 있는 기립성 저혈압과 우울증, 알코올 의존증 등을 앓는 경우 발병 가능성이 높게 나타났다. 26일(현지... 연구에 따르면 기립성 저혈압(4.2배), 우울증(3.25배), 알코올 의존 및 남용(2.39배) 증세를 가진 경우 비교군 대비 발병 위험이 상당히 높았다. 치매 중 가장..."
나도 혹시 ‘젊은 치매’ 위험군?…음주·우울증보다 이 질병이 더 위험하다는...,"조기치매 유발요인 35만명 15년치 분석 기립성저혈압 앓을 경우, 발생률 4배 높아 우울증은 3배, 알코올 중독은 2.3배 ↑ 우울증과 술 등 12가지 요인이 65세 이전 발생하는 조기치매를 유발한다는 분석이 나왔다. 반대로 강한 악력 수준과 정규교육 수료 등의 3가지 요인은 조기치매 발생위험을 낮춘다는..."
커지는 우울증 치료시장…누가 선점할까,국내 우울증 치료 시장이 코로나19를 기점으로 몸집이 커지면서 국내 제약사들의 경쟁이 치열해지고 있다. 약효가 나타나는 데 오랜 시간이 걸리고 심각한 부작용 우려가 있던 기존 치료제의 단점을 극복한 신약을 개발하거나 우선 도입하는 곳이 시장을 선점할 것이라는 분석이 나온다. 우울증 인구 100만...
"한파 가니 미세먼지 콜록…""뇌 침투 시 정신질환·우울증 위험 증가""","특히 초미세먼지보다 작은 극초미세먼지가 코를 통해 뇌로 들어갈 경우, 치매나 우울증 발병률을 높일 수 있다는 겁니다. 조재림 / 연세대 의대 예방의학교실 교수 ""뇌 안에 염증 반응이 일어나면서 뇌가 위축이 되면 우울증이나 불안증과 같은 그런 정신건강 문제들도 좀 일으키게 되고요."" 미세먼지는 이번..."
충남 지역사회건강조사…“걷기 실천 늘었지만 당뇨‧우울증·비만 악화”,"충남도민은 걷기 실천은 늘었지만 흡연과 당뇨, 우울증, 비만 등은 악화된 것으로 나타났다. 27일 충남도에 따르면 19세 이상 도민 1만4406명을 대상으로 실시한 ‘2023년 충남도 지역사회건강조사’ 결과 최근 1주일 동안 하루 30분 이상 걷기를 실천한 사람은 전년 대비 1.6%p 늘어 전국 평균(0.8%p)의..."
이제는 스마트폰으로 정신건강 모니터링...우울증 진단도 가능,우울증 등을 스마트폰 사용 언어로 진단할 수 있는 기술이 개발됐다. 한국과학기술원(KAIST)은 전기 및 전자공학부 이성주 교수 연구팀 등이 사용자의 언어 사용 패턴을 스마트폰에서 자동 분석해 정신건강 상태를 모니터링하는 인공지능(AI) 기술을 개발했다고 21일 밝혔다. 연구팀은 임상적...
"'직장내 괴롭힘' 우울증 부른다…""남성이 1.6배 더 높아""","성별에 따라 직장 내 괴롭힘으로 인한 우울증의 위험도가 다르다는 연구 결과가 나왔다. 남성 근로자의 우울증 유병률이 여성 근로자에 비해 약 1.6배 더 높았다. 강북삼성병원 정신건강의학과 조성준 교수, 일산차병원 정슬아·김민경 교수 연구팀은 성별에 따른 직장 내 괴롭힘과 우울증의 상관 관계를..."
"롯데손보, 여성 전용 ‘FOR ME 언제나언니’ 보험 출시",우울증 등 정신질환치료비 보장도 추가했다. 2월에는 임신·출산과 관련한 보장을 담은 새 상품을 내놓을 예정이다. 롯데손보는 암보험인 ‘let:smile 종합암보험(88)’을 재발암과 잔여암 보장을 강화한 ‘let:smile 종합암보험(88 플러스)’로 새롭게 출시한다. 첫번째 암 진단일로부터 2년이 지난 후...
