시도,시군구,행정번호,년도,우울증환자수,평균연령,총인구수,스트레스인지율,고용률,코로나확진자수,1인당 정신건강예산(원),공공시설개수,우울증지수
서울특별시,서울종로구,1111000000,2018,14837,44.2,153065,34.2,59.6,0,5326,44,9.693267566
서울특별시,서울중구,1114000000,2018,4352,44.6,125725,28.3,59.6,0,5326,42,3.461523166
서울특별시,서울용산구,1117000000,2018,2370,43.6,228999,20,59.6,0,5326,53,1.034939017
서울특별시,서울성동구,1120000000,2018,3657,42,308221,31.3,59.6,0,5326,50,1.18648632
서울특별시,서울광진구,1121500000,2018,6917,41.4,355559,29.4,59.6,0,5326,47,1.945387404
서울특별시,서울동대문구,1123000000,2018,8382,43.3,348052,28,59.6,0,5326,50,2.408260835
서울특별시,서울중랑구,1126000000,2018,5718,43.5,403209,32.8,59.6,0,5326,61,1.418123107
서울특별시,서울성북구,1129000000,2018,5728,42.5,435868,29.5,59.6,0,5326,51,1.314159333
서울특별시,서울강북구,1130500000,2018,3002,44.7,319164,31,59.6,0,5326,57,0.940582271
서울특별시,서울도봉구,1132000000,2018,2810,43.9,339413,28.9,59.6,0,5326,72,0.827899933
서울특별시,서울노원구,1135000000,2018,8952,41.9,543752,26.1,59.6,0,5326,182,1.646338772
서울특별시,서울은평구,1138000000,2018,6134,43.1,483197,22.9,59.6,0,5326,111,1.269461524
서울특별시,서울서대문구,1141000000,2018,7653,43,310313,25.8,59.6,0,5326,57,2.466219591
서울특별시,서울마포구,1144000000,2018,11217,41.2,375077,16.6,59.6,0,5326,89,2.990585933
서울특별시,서울양천구,1147000000,2018,5366,41,464185,29.3,59.6,0,5326,98,1.15600461
서울특별시,서울강서구,1150000000,2018,6220,41.4,596949,33.2,59.6,0,5326,150,1.041965059
서울특별시,서울구로구,1153000000,2018,8525,42.5,404497,24.5,59.6,0,5326,60,2.107555804
서울특별시,서울금천구,1154500000,2018,3079,43.4,233917,30.7,59.6,0,5326,54,1.316278851
서울특별시,서울영등포구,1156000000,2018,6891,42.5,367778,27.8,59.6,0,5326,54,1.873684668
서울특별시,서울동작구,1159000000,2018,9006,42.1,396203,36.1,59.6,0,5326,55,2.273077185
서울특별시,서울관악구,1162000000,2018,7717,41.7,501957,25.3,59.6,0,5326,79,1.537382684
서울특별시,서울서초구,1165000000,2018,15234,40.4,433951,34.1,59.6,0,5326,139,3.5105346
서울특별시,서울강남구,1168000000,2018,21672,40.5,542364,32.5,59.6,0,5326,133,3.995840432
서울특별시,서울송파구,1171000000,2018,12986,40.7,666635,16.1,59.6,0,5326,145,1.94799253
서울특별시,서울강동구,1174000000,2018,14858,42.1,427573,24.1,59.6,0,5326,75,3.47496217
부산광역시,부산진구,2611000000,2018,10813,48.9,362357,24.8,55.7,0,3872,27,2.984073717
부산광역시,부산수영구,2614000000,2018,8094,47.3,176246,21.4,55.7,0,3872,20,4.592444651
부산광역시,부산동구,2617000000,2018,5094,48.6,86912,26.9,55.7,0,3872,7,5.861100884
부산광역시,부산중구,2620000000,2018,2243,48.4,42795,25.2,55.7,0,3872,5,5.241266503
부산광역시,부산북구,2623000000,2018,3669,44.4,296952,25.8,55.7,0,3872,77,1.235553221
부산광역시,부산동래구,2626000000,2018,5819,43.5,266515,19.2,55.7,0,3872,45,2.18336679
부산광역시,부산남구,2629000000,2018,3054,43.9,279917,28.1,55.7,0,3872,35,1.0910377
부산광역시,부산사상구,2632000000,2018,2773,43,223361,20.1,55.7,0,3872,34,1.241487995
부산광역시,부산해운대구,2635000000,2018,6655,42.9,409347,21.3,55.7,0,3872,75,1.625760052
부산광역시,부산서구,2638000000,2018,2937,43.6,110534,23.1,55.7,0,3872,6,2.657100983
부산광역시,부산금정구,2641000000,2018,2710,44.8,242956,21.8,55.7,0,3872,40,1.115428308
부산광역시,부산강서구,2644000000,2018,228,38.4,122957 ,29,55.7,0,3872,88,0.185430679
