시도,시군구,행정번호,년도,우울증환자수,코로나확진자수,1인당 정신건강예산(원),공공시설개수
서울특별시,서울종로구,1111000000,2018,14837,0,5326,44
서울특별시,서울중구,1114000000,2018,4352,0,5326,42
서울특별시,서울용산구,1117000000,2018,2370,0,5326,53
서울특별시,서울성동구,1120000000,2018,3657,0,5326,50
서울특별시,서울광진구,1121500000,2018,6917,0,5326,47
서울특별시,서울동대문구,1123000000,2018,8382,0,5326,50
서울특별시,서울중랑구,1126000000,2018,5718,0,5326,61
서울특별시,서울성북구,1129000000,2018,5728,0,5326,51
서울특별시,서울강북구,1130500000,2018,3002,0,5326,57
서울특별시,서울도봉구,1132000000,2018,2810,0,5326,72
서울특별시,서울노원구,1135000000,2018,8952,0,5326,182
서울특별시,서울은평구,1138000000,2018,6134,0,5326,111
서울특별시,서울서대문구,1141000000,2018,7653,0,5326,57
서울특별시,서울마포구,1144000000,2018,11217,0,5326,89
서울특별시,서울양천구,1147000000,2018,5366,0,5326,98
서울특별시,서울강서구,1150000000,2018,6220,0,5326,150
서울특별시,서울구로구,1153000000,2018,8525,0,5326,60
서울특별시,서울금천구,1154500000,2018,3079,0,5326,54
서울특별시,서울영등포구,1156000000,2018,6891,0,5326,54
서울특별시,서울동작구,1159000000,2018,9006,0,5326,55
서울특별시,서울관악구,1162000000,2018,7717,0,5326,79
서울특별시,서울서초구,1165000000,2018,15234,0,5326,139
서울특별시,서울강남구,1168000000,2018,21672,0,5326,133
서울특별시,서울송파구,1171000000,2018,12986,0,5326,145
서울특별시,서울강동구,1174000000,2018,14858,0,5326,75
부산광역시,부산진구,2611000000,2018,10813,0,3872,27
부산광역시,부산수영구,2614000000,2018,8094,0,3872,20
부산광역시,부산동구,2617000000,2018,5094,0,3872,7
부산광역시,부산중구,2620000000,2018,2243,0,3872,5
부산광역시,부산북구,2623000000,2018,3669,0,3872,77
부산광역시,부산동래구,2626000000,2018,5819,0,3872,45
부산광역시,부산남구,2629000000,2018,3054,0,3872,35
부산광역시,부산사상구,2632000000,2018,2773,0,3872,34
