년도,시도,시군구,시설명
2018,서울,용산구,블루스퀘어
2018,서울,양천구,목동청소년수련관
2018,서울,마포구,서울월드컵경기장
2018,서울,중구,서울시립미술관
2018,서울,송파구,잠실올림픽주경기장
2018,서울,중구,서울도서관
2018,서울,송파구,잠실야구장
2018,서울,마포구,서울에너지드림센터
2018,서울,송파구,한성백제박물관
2018,서울,종로구,세종문화회관
2018,서울,은평구,은평청소년수련관
2018,서울,종로구,서울역사박물관
2018,서울,노원구,시립북서울미술관
2018,서울,중구,동대문디자인플라자
2018,서울,노원구,노원청소년수련관
2018,서울,마포구,마포청소년수련관
2018,서울,노원구,서울시립과학관
2018,서울,종로구,종로문화체육센터
2018,서울,종로구,종로구민회관
2018,서울,중구,중구구민회관
2018,서울,중구,충무아트센터
2018,서울,중구,충무아트홀 스포츠센터
2018,서울,중구,회현체육센터
2018,서울,용산구,갈월종합사회복지관
2018,서울,용산구,용산청소년수련관
2018,서울,용산구,용산아트홀
2018,서울,용산구,용산구문화체육센터
2018,서울,성동구,성수문화복지회관
2018,서울,성동구,성동구립도서관
2018,서울,광진구,광진정보도서관
2018,서울,광진구,광진문화예술회관
2018,서울,광진구,광진구민체육센터
2018,서울,광진구,중곡문화체육센터
2018,서울,동대문구,동대문종합사회복지관
2018,서울,동대문구,서울한방진흥센터
2018,서울,동대문구,동대문구체육관
2018,서울,동대문구,용두문화복지센터
2018,서울,동대문구,답십리도서관
2018,서울,중랑구,중랑문화체육관
2018,서울,중랑구,중랑구립정보도서관
2018,서울,중랑구,중랑구민체육센터
2018,서울,성북구,성북정보도서관
2018,서울,성북구,성북구육아종합지원센터(보문)
2018,서울,강북구,강북문화예술회관
2018,서울,강북구,강북웰빙스포츠센터
2018,서울,강북구,강북구민운동장
2018,서울,도봉구,둘리뮤지엄
2018,서울,노원구,노원문화예술회관
2018,서울,노원구,월계구민체육센터
2018,서울,노원구,노원정보도서관
2018,서울,은평구,은평역사한옥박물관
2018,서울,은평구,은평문화예술회관
2018,서울,은평구,은평구민체육센터
2018,서울,은평구,은평다목적체육관
2018,서울,서대문구,서대문문화체육회관
2018,서울,서대문구,서대문자연사박물관
2018,서울,마포구,마포중앙도서관
2018,서울,마포구,마포아트센터
2018,서울,마포구,마포구민체육센터
2018,서울,양천구,양천문화회관
2018,서울,강서구,강서구민올림픽체육센터
2018,서울,강서구,허준박물관
2018,서울,강서구,겸재정선미술관
2018,서울,강서구,마곡레포츠센터
2018,서울,금천구,금천구민문화체육센터
2018,서울,금천구,금나래아트홀
2018,서울,영등포구,영등포제1스포츠센터
2018,서울,영등포구,영등포구민회관
2018,서울,영등포구,영등포제2스포츠센터
2018,서울,동작구,동작구민체육센터
2018,서울,동작구,동작문화복지센터
2018,서울,동작구,사당종합체육관
2018,서울,관악구,관악구민종합체육센터
2018,서울,관악구,관악문화관
2018,서울,서초구,서초구립반포도서관
2018,서울,서초구,심산기념문화센터
2018,서울,강남구,강남스포츠문화센터
2018,서울,강남구,도곡정보문화도서관
2018,서울,강남구,역삼청소년수련관
2018,서울,송파구,글마루도서관
2018,서울,송파구,송파구체육문화회관
2018,서울,강동구,강동아트센터
2018,부산,부산동래구,사직실내체육관
2018,부산,부산동래구,종합운동장실내수영장
2018,부산,부산해운대구,요트경기장
2018,부산,부산강서구,강서체육공원 체육관
2018,부산,부산기장군,기장체육관
2018,부산,부산남구,부산문화회관
2018,부산,부산해운대구,부산광역시립미술관
2018,부산,부산해운대구,영화의전당
2018,부산,부산금정구,금정체육공원
2018,부산,부산금정구,금정체육공원
2018,부산,부산금정구,금정체육공원
2018,부산,부산사하구,현대미술관
2018,부산,부산연제구,아시아드주경기장
2018,부산,부산동래구,복천박물관
2018,부산,부산동구,동구국민체육문예센터
2018,부산,부산영도구,영도국민체육센터
2018,부산,부산영도구,영도문화예술회관
2018,부산,부산진구,부산진구 국민체육센터
2018,부산,부산동래구,동래구국민체육센터
2018,부산,부산동래구,동래문화회관
2018,부산,부산남구,남구국민체육센터
2018,부산,부산남구,분포문화체육센터
2018,부산,부산남구,남구실내빙상장
2018,부산,부산북구,부산북구빙상센터
2018,부산,부산해운대구,해운대문화회관
2018,부산,부산해운대구,해운대도서관
2018,부산,부산해운대구,해운대구문화복합센터
2018,부산,부산사하구,을숙도문화회관
2018,부산,부산사하구,사하구 국민체육센터
2018,부산,부산금정구,금정문화회관
