년도,시도,시군구,환자수
2018,강원,강릉시,4360
2018,강원,고성군,0
2018,강원,동해시,1337
2018,강원,삼척시,1059
2018,강원,속초시,1459
2018,강원,양구군,30
2018,강원,양양군,25
2018,강원,영월군,258
2018,강원,원주시,8382
2018,강원,인제군,23
2018,강원,정선군,19
2018,강원,철원군,17
2018,강원,춘천시,5074
2018,강원,태백시,240
2018,강원,평창군,161
2018,강원,홍천군,1385
2018,강원,화천군,33
2018,강원,횡성군,101
2018,경기,가평군,501
2018,경기,고양덕양구,3760
2018,경기,고양일산동구,8003
2018,경기,고양일산서구,6853
2018,경기,과천시,67
2018,경기,광명시,3662
2018,경기,광주시,3419
2018,경기,구리시,3631
2018,경기,군포시,3542
2018,경기,김포시,2392
2018,경기,남양주시,5697
2018,경기,동두천시,1610
2018,경기,부천시,13981
2018,경기,성남분당구,20184
2018,경기,성남수정구,3803
2018,경기,성남중원구,2849
2018,경기,수원권선구,2114
2018,경기,수원영통구,5113
2018,경기,수원장안구,3402
2018,경기,수원팔달구,9645
2018,경기,시흥시,3766
2018,경기,안산단원구,7393
2018,경기,안산상록구,2899
2018,경기,안성시,929
2018,경기,안양동안구,8645
2018,경기,안양만안구,3617
2018,경기,양주시,828
2018,경기,양평군,764
2018,경기,여주시,1783
2018,경기,연천군,377
2018,경기,오산시,2779
2018,경기,용인기흥구,4460
2018,경기,용인수지구,3658
2018,경기,용인처인구,2290
2018,경기,의왕시,843
2018,경기,의정부시,10055
2018,경기,이천시,4088
2018,경기,파주시,2934
2018,경기,평택시,5911
2018,경기,포천시,541
2018,경기,하남시,1495
2018,경기,화성시,3651
2018,경남,거제시,2135
2018,경남,거창군,926
2018,경남,고성군,207
2018,경남,김해시,5330
2018,경남,남해군,141
2018,경남,밀양시,636
2018,경남,사천시,720
2018,경남,산청군,50
2018,경남,양산시,4084
2018,경남,의령군,73
2018,경남,진주시,6433
2018,경남,창녕군,509
2018,경남,창원마산합포구,3260
2018,경남,창원마산회원구,3314
2018,경남,창원성산구,3680
2018,경남,창원의창구,1669
2018,경남,창원진해구,1312
2018,경남,통영시,1486
2018,경남,하동군,281
2018,경남,함안군,277
2018,경남,함양군,219
2018,경남,합천군,193
2018,경북,경산시,3170
2018,경북,경주시,4554
2018,경북,고령군,12
2018,경북,구미시,5616
2018,경북,군위군,66
2018,경북,김천시,3133
2018,경북,문경시,2414
2018,경북,봉화군,128
2018,경북,상주시,821
2018,경북,성주군,70
2018,경북,안동시,2648
2018,경북,영덕군,210
2018,경북,영양군,0
2018,경북,영주시,1414
2018,경북,영천시,1531
2018,경북,예천군,134
2018,경북,울릉군,0
2018,경북,울진군,159
2018,경북,의성군,183
2018,경북,청도군,374
2018,경북,청송군,98
2018,경북,칠곡군,500
2018,경북,포항남구,2662
2018,경북,포항북구,4876
2018,광주,광주광산구,5867
2018,광주,광주남구,3088
2018,광주,광주동구,4746
2018,광주,광주북구,6789
2018,광주,광주서구,3173
2018,대구,대구남구,3703
2018,대구,대구달서구,10385
2018,대구,대구달성군,1199
2018,대구,대구동구,5813
2018,대구,대구북구,5189
2018,대구,대구서구,2874
2018,대구,대구수성구,9566
2018,대구,대구중구,6044
2018,대전,대전대덕구,2683
2018,대전,대전동구,3117
2018,대전,대전서구,10943
2018,대전,대전유성구,3552
2018,대전,대전중구,7810
2018,부산,부산강서구,228
2018,부산,부산금정구,2710
2018,부산,부산기장군,2410
2018,부산,부산남구,3054
2018,부산,부산동구,5094
2018,부산,부산동래구,5819
2018,부산,부산북구,3669
2018,부산,부산사상구,2773
2018,부산,부산사하구,4083
2018,부산,부산서구,2937
2018,부산,부산수영구,8094
2018,부산,부산연제구,4080
2018,부산,부산영도구,2035
2018,부산,부산중구,2243
2018,부산,부산진구,10813
2018,부산,부산해운대구,6655
2018,서울,강남구,21672
2018,서울,강동구,14858
2018,서울,강북구,3002
2018,서울,강서구,6220
2018,서울,관악구,7717
2018,서울,광진구,6917
2018,서울,구로구,8525
2018,서울,금천구,3079
2018,서울,노원구,8952
2018,서울,도봉구,2810
2018,서울,동대문구,8382
2018,서울,동작구,9006
2018,서울,마포구,11217
2018,서울,서대문구,7653
2018,서울,서초구,15234
2018,서울,성동구,3657
2018,서울,성북구,5728
2018,서울,송파구,12986
2018,서울,양천구,5366
2018,서울,영등포구,6891
2018,서울,용산구,2370
2018,서울,은평구,6134
2018,서울,종로구,14837
2018,서울,중구,4352
2018,서울,중랑구,5718
2018,세종,세종시,4062
2018,울산,울산남구,8872
2018,울산,울산동구,1542
2018,울산,울산북구,533
2018,울산,울산울주군,971
2018,울산,울산중구,2588
2018,인천,인천강화군,300
2018,인천,인천계양구,4343
2018,인천,인천남동구,8486
2018,인천,인천동구,724
2018,인천,인천미추홀구,5451
2018,인천,인천부평구,11108
2018,인천,인천서구,7344
2018,인천,인천연수구,3671
2018,인천,인천옹진군,0
2018,인천,인천중구,4286
2018,전남,강진군,377
2018,전남,고흥군,1870
2018,전남,곡성군,53
2018,전남,광양시,772
2018,전남,구례군,59
2018,전남,나주시,1045
2018,전남,담양군,243
2018,전남,목포시,4919
2018,전남,무안군,731
2018,전남,보성군,276
