"No","회계연도","지역명","자치단체코드","자치단체명","시설유형","시설구분","시설명","건립일","운영방식","건물면적","토지면적","관리인력","연간이용인원","건립비용","취득가액","감가상각액","감가상각누계액","장부가액","내용연수","비용","수익","순수익"
"1","2019","서울","1100000","서울본청","체육시설","육상경기장","잠실올림픽주경기장","1984.09.29","직영","75469","111792","30","234828","36736270000","36736270000","1327453235","30541488236","6194781764","40","15365009000","8542510000","-6822499000"
"2","2019","서울","1100000","서울본청","문화시설","공립도서관","서울도서관","2012.10.26","직영","9499","12709","61","933550","64100000000","64100000000","1602500000","11217500000","52882500000","40","3668236420","10300470","-3657935950"
"3","2019","서울","1100000","서울본청","체육시설","야구장","잠실야구장","1982.07.15","위탁","26331","45312","40","2104551","21646050000","21646050000","866269788","20475742118","1170307882","40","2696622000","16385502000","13688880000"
"4","2019","서울","1100000","서울본청","기타시설","기타시설","서울에너지드림센터","2012.12.10","위탁","3762","13039","11","93188","20306207390","20092113390","502302834","4060281241","16031832149","40","1133840000","17982000","-1115858000"
"5","2019","서울","1100000","서울본청","문화시설","박물관","한성백제박물관","2011.12.31","직영","19423","14894","140","788020","79530000000","79530000000","2485000000","15906000000","63624000000","40","13100619208","242407720","-12858211488"
"6","2019","서울","1100000","서울본청","문화시설","박물관","서울역사박물관","1998.02.03","직영","20883","99728","259","2213000","34410549830","34410549830","340875731","14611351083","19799198747","80","16259995075","1177091340","-15082903735"
"7","2019","서울","1100000","서울본청","기타시설","기타시설","보라매안전체험관","2010.05.25","직영","8020.77","4753","24","165092","41452000000","38229341000","1012650658","7259108376","30970232624","40","235057000","0","-235057000"
"8","2019","서울","1100000","서울본청","기타시설","기타시설","광나루안전체험관","2002.12.05","직영","5444.5","5041.6","21","215342","20549000000","2558915000","73227789","880778165","1678136835","40","1193347000","0","-1193347000"
"9","2019","서울","1100000","서울본청","기타시설","기타시설","서울혁신파크","2015.04.13","위탁","48898.47","109927.1","88","678600","442247285600","364565285600","2052086474","8261738519","356303547081","40","7141529590","1393725410","-5747804180"
"10","2019","서울","1100000","서울본청","문화시설","박물관","서울도시건축전시관","2019.01.11","위탁","2988.23","1558.3","0","290895","28168000000","21047438620","526185965","526185965","20521252655","40","2232018500","59523268","-2172495232"
"11","2019","서울","1100000","서울본청","문화시설","과학관","서울시립과학관","2016.06.30","직영","12330.81","25875.6","84","216986","42349000000","42349000000","2231275922","7353572873","34995427127","40","4806873400","308230750","-4498642650"
"12","2019","서울","1100000","서울본청","문화시설","문화예술회관","동대문디자인플라자","2013.11.20","위탁","86574","62108","40","11739138","421222432000","384332033793","10127668456","39991306211","344340727582","40","14692124000","15476565000","784441000"
"13","2019","서울","1100000","서울본청","문화시설","미술관","서울시립미술관","2002.01.31","직영","13433","25420","142","1083487","27804000000","27804000000","798167501","10044773102","17759226898","40","11692449645","1555501060","-10136948585"
"14","2019","서울","1111000","서울종로구","기타시설","기타시설","종로구민회관","2000.01.31","위탁","11262","3974","37","877861","24647000000","24119086890","389696762","6634641918","17484444972","40","3161952592","2668490170","-493462422"
"15","2019","서울","1111000","서울종로구","체육시설","체육관","종로문화체육센터","2007.04.01","위탁","6756","3069","34","213661","22440954940","22440954940","488184446","5072418839","17368536101","40","1676009878","712241060","-963768818"
"16","2019","서울","1112000","서울중구","기타시설","기타시설","중구구민회관","1990.06.05","위탁","6886.79","5224.3","9","47600","14163382449","14163382449","81634413","1683655598","12479726851","40","1015450129","497123170","-518326959"
"17","2019","서울","1112000","서울중구","문화시설","박물관","서소문성지 역사박물관","2019.01.31","위탁","24526.47","21363","25","138821","59131191170","59131191170","862329871","862329871","58268861299","40","830972000","49850273","-781121727"
