"행정구역별(1)","성별(1)",2018.1/2,2018.2/2,2019.1/2,2019.2/2,2020.1/2,2020.2/2,2021.1/2,2021.2/2,2022.1/2
"서울 종로구","계",-,-,-,-,-,-,52.8,56.1,56.9
"서울 중구","계",-,-,-,-,-,-,55.1,55.9,58.2
"서울 용산구","계",-,-,-,-,-,-,59.1,59.5,60.3
"서울 성동구","계",-,-,-,-,-,-,56.2,56.4,58.4
"서울 광진구","계",-,-,-,-,-,-,56.2,57.5,60.0
"서울 동대문구","계",-,-,-,-,-,-,54.1,54.9,56.5
"서울 중랑구","계",-,-,-,-,-,-,54.7,55.0,55.9
"서울 성북구","계",-,-,-,-,-,-,52.1,52.9,53.9
"서울 강북구","계",-,-,-,-,-,-,51.5,52.1,51.6
"서울 도봉구","계",-,-,-,-,-,-,53.0,54.1,54.2
"서울 노원구","계",-,-,-,-,-,-,53.6,54.2,54.6
"서울 은평구","계",-,-,-,-,-,-,54.5,56.2,55.6
"서울 서대문구","계",-,-,-,-,-,-,52.9,53.1,53.3
"서울 마포구","계",-,-,-,-,-,-,59.5,60.1,61.0
"서울 양천구","계",-,-,-,-,-,-,55.6,56.2,57.6
"서울 강서구","계",-,-,-,-,-,-,57.1,58.2,59.5
"서울 구로구","계",-,-,-,-,-,-,57.3,59.0,59.6
"서울 금천구","계",-,-,-,-,-,-,58.2,58.4,59.7
"서울 영등포구","계",-,-,-,-,-,-,57.7,59.8,61.5
"서울 동작구","계",-,-,-,-,-,-,55.0,56.6,57.9
"서울 관악구","계",-,-,-,-,-,-,53.7,55.1,58.1
"서울 서초구","계",-,-,-,-,-,-,54.9,55.8,56.3
"서울 강남구","계",-,-,-,-,-,-,56.9,57.9,57.8
"서울 송파구","계",-,-,-,-,-,-,57.2,57.8,59.1
"서울 강동구","계",-,-,-,-,-,-,59.1,59.1,60.0
"부산 중구","계",-,-,-,-,-,-,49.4,53.1,54.3
"부산 서구","계",-,-,-,-,-,-,49.3,51.5,51.0
"부산 동구","계",-,-,-,-,-,-,48.4,50.4,50.2
"부산 영도구","계",-,-,-,-,-,-,45.2,47.5,48.8
"부산 부산진구","계",-,-,-,-,-,-,52.2,54.0,53.2
"부산 동래구","계",-,-,-,-,-,-,52.0,53.8,53.1
"부산 남구","계",-,-,-,-,-,-,49.2,50.0,52.6
"부산 북구","계",-,-,-,-,-,-,50.7,52.2,52.7
"부산 해운대구","계",-,-,-,-,-,-,51.1,52.7,53.4
"부산 사하구","계",-,-,-,-,-,-,52.5,54.2,54.6
"부산 금정구","계",-,-,-,-,-,-,49.0,51.7,50.8
"부산 강서구","계",-,-,-,-,-,-,62.8,63.6,64.5
"부산 연제구","계",-,-,-,-,-,-,51.7,54.3,55.7
"부산 수영구","계",-,-,-,-,-,-,51.4,54.2,55.8
"부산 사상구","계",-,-,-,-,-,-,54.2,55.2,57.2
"부산 기장군","계",-,-,-,-,-,-,56.9,57.6,56.4
"대구 중구","계",-,-,-,-,-,-,55.9,56.6,56.8
"대구 동구","계",-,-,-,-,-,-,53.0,54.9,56.0
"대구 서구","계",-,-,-,-,-,-,50.9,52.4,52.8
"대구 남구","계",-,-,-,-,-,-,48.5,50.5,49.9
"대구 북구","계",-,-,-,-,-,-,52.7,54.8,55.1
"대구 수성구","계",-,-,-,-,-,-,53.0,53.0,53.5
"대구 달서구","계",-,-,-,-,-,-,54.7,55.0,55.8
"대구 달성군","계",-,-,-,-,-,-,60.3,63.2,62.9
"인천 중구","계",-,-,-,-,-,-,59.7,60.1,60.0
"인천 동구","계",-,-,-,-,-,-,57.2,57.7,57.6
"인천 연수구","계",-,-,-,-,-,-,57.4,59.8,59.3
"인천 남동구","계",-,-,-,-,-,-,56.7,58.5,58.5
"인천 부평구","계",-,-,-,-,-,-,57.0,59.4,60.1
"인천 계양구","계",-,-,-,-,-,-,58.9,59.8,60.3
"인천 서구","계",-,-,-,-,-,-,61.1,61.7,63.4
"인천 미추홀구","계",-,-,-,-,-,-,56.8,59.3,58.8
"인천 강화군","계",-,-,-,-,-,-,65.5,67.2,65.7
"인천 옹진군","계",-,-,-,-,-,-,77.7,79.5,76.3
"광주 동구","계",-,-,-,-,-,-,55.5,54.6,57.3
"광주 서구","계",-,-,-,-,-,-,59.7,59.9,60.4
"광주 남구","계",-,-,-,-,-,-,57.3,56.8,57.9
"광주 북구","계",-,-,-,-,-,-,54.8,55.4,56.2
"광주 광산구","계",-,-,-,-,-,-,60.2,61.4,59.9
"대전 동구","계",-,-,-,-,-,-,51.5,54.3,54.1
"대전 중구","계",-,-,-,-,-,-,56.7,58.3,58.2
"대전 서구","계",-,-,-,-,-,-,58.8,60.1,58.5
"대전 유성구","계",-,-,-,-,-,-,60.8,60.4,63.1
"대전 대덕구","계",-,-,-,-,-,-,55.8,59.0,59.5
"울산 중구","계",-,-,-,-,-,-,53.9,55.6,55.5
"울산 남구","계",-,-,-,-,-,-,55.4,56.4,57.0
"울산 동구","계",-,-,-,-,-,-,53.7,54.6,56.1
"울산 북구","계",-,-,-,-,-,-,58.4,60.5,59.3
"울산 울주군","계",-,-,-,-,-,-,57.1,60.2,59.2
"수원시","계",58.7,60.8,60.4,60.2,58.8,58.4,58.4,60.5,60.9
"성남시","계",57.9,58.8,58.7,59.0,56.8,59.1,59.1,60.6,60.1
"의정부시","계",55.9,55.7,56.6,56.6,53.2,56.2,55.0,56.2,55.2
"안양시","계",57.7,59.0,58.7,58.8,55.6,58.1,58.7,58.5,58.7
"부천시","계",58.5,59.4,60.2,60.2,58.3,58.6,59.3,58.7,59.6
"광명시","계",58.8,57.9,58.7,58.5,56.6,58.0,56.7,57.9,57.7
"평택시","계",61.1,59.6,61.9,61.7,59.4,60.3,60.5,60.5,63.3
"동두천시","계",54.9,54.8,54.3,53.2,50.9,51.7,52.1,55.3,55.5
"안산시","계",59.9,60.3,60.6,60.3,57.1,57.8,58.8,60.1,62.1
"고양시","계",56.5,57.0,56.6,58.0,55.5,57.5,57.5,59.6,60.3
"과천시","계",51.9,52.3,52.6,53.6,51.4,53.3,54.7,56.6,58.7
"구리시","계",59.0,58.8,58.6,58.1,55.0,59.1,58.7,58.5,60.1
"남양주시","계",54.1,54.5,55.2,55.0,52.9,54.1,54.7,56.4,55.6
"오산시","계",62.8,62.7,62.8,61.8,59.9,62.0,62.5,62.6,63.1
"시흥시","계",60.7,62.0,64.2,63.1,61.2,61.4,60.7,62.7,64.4
"군포시","계",57.6,58.5,59.0,59.7,55.2,57.7,57.5,59.8,60.0
"의왕시","계",58.3,58.6,58.4,56.9,55.7,57.1,58.1,59.1,58.5
"하남시","계",59.9,60.9,60.1,61.8,61.9,61.1,60.9,61.1,63.0
"용인시","계",55.8,56.6,56.6,56.8,54.6,55.2,56.0,56.8,57.6
"파주시","계",59.3,61.7,60.9,60.0,58.7,58.4,59.0,60.0,61.5
"이천시","계",65.5,65.2,66.5,64.6,63.6,64.5,65.8,68.4,68.4
"안성시","계",65.5,64.0,64.8,64.8,63.4,64.2,63.0,63.9,64.4
"김포시","계",57.7,59.5,60.6,60.6,57.0,59.3,58.8,60.8,61.9
"화성시","계",64.1,64.8,65.4,66.5,63.7,64.5,64.7,65.7,65.6
"광주시","계",63.8,62.2,61.4,60.4,58.2,62.2,60.7,62.6,63.1
"양주시","계",55.3,57.0,57.4,57.5,54.0,54.3,56.1,57.0,57.2
"포천시","계",63.5,64.7,61.7,64.3,58.8,60.4,61.8,63.4,64.3
"여주시","계",59.5,59.2,58.5,60.4,59.3,61.9,63.2,63.8,63.6
"여주군","계",-,-,-,-,-,-,-,-,-
"연천군","계",59.1,63.3,61.2,63.5,62.0,62.5,62.7,62.0,62.8
"가평군","계",59.8,60.1,61.3,61.6,62.5,60.4,61.1,61.0,61.6
"양평군","계",59.1,59.7,60.5,61.6,57.8,59.6,59.7,59.1,60.9
"춘천시","계",57.1,58.6,59.6,58.7,54.9,57.7,57.1,58.6,58.4
"원주시","계",59.1,60.8,59.1,60.2,58.2,59.2,59.6,60.1,59.7
"강릉시","계",58.4,58.0,59.6,60.0,57.2,59.2,59.0,61.4,61.8
"동해시","계",58.9,61.7,59.2,58.5,59.1,59.0,60.1,61.9,61.6
"태백시","계",58.8,58.8,60.7,61.1,59.6,59.6,61.1,61.6,61.0
"속초시","계",59.3,61.1,61.6,62.8,62.3,63.1,61.8,62.3,63.2
"삼척시","계",55.8,57.2,56.8,57.4,58.8,60.1,59.3,61.0,61.2
"홍천군","계",62.3,65.6,65.0,66.7,66.8,67.4,69.8,71.1,72.4
"횡성군","계",66.6,66.3,67.1,68.1,65.7,67.0,65.8,66.2,66.9
"영월군","계",65.0,67.2,66.7,67.8,63.1,66.3,66.3,65.8,66.8
"평창군","계",66.1,66.7,68.2,67.2,67.3,70.0,70.8,72.4,74.0
"정선군","계",65.9,67.6,69.0,69.7,69.1,69.0,68.3,70.0,69.7
"철원군","계",62.8,65.7,66.5,66.7,63.4,64.2,63.8,65.7,66.5
"화천군","계",68.5,67.7,68.9,68.5,67.5,67.9,68.9,69.9,72.7
"양구군","계",64.0,66.8,66.6,68.4,66.5,70.2,71.0,71.2,70.9
"인제군","계",69.0,68.6,71.9,72.0,71.5,71.4,72.2,71.5,71.1
"고성군","계",63.4,68.0,66.7,66.7,65.3,68.3,66.9,70.1,71.2
"양양군","계",63.6,64.3,64.7,66.8,65.8,68.0,67.8,71.5,71.1
"청주시","계",60.4,60.2,60.3,60.4,59.1,60.3,60.4,61.7,62.8
"충주시","계",61.5,60.6,60.7,61.6,61.3,61.7,62.1,63.8,64.5
"제천시","계",59.4,60.8,60.1,60.9,58.9,59.2,59.7,60.1,59.8
"청원군","계",-,-,-,-,-,-,-,-,-
"보은군","계",65.0,65.3,66.0,67.3,67.4,68.9,69.8,69.1,68.0
"옥천군","계",63.0,64.0,65.0,66.0,64.7,62.7,63.2,63.2,65.8
"영동군","계",61.8,61.1,62.2,60.5,61.3,61.7,64.6,63.0,65.8
"진천군","계",69.3,70.0,70.9,68.7,67.7,69.4,70.2,71.4,71.5
"괴산군","계",64.8,64.8,65.6,67.9,66.1,65.7,68.6,68.9,69.3
"음성군","계",68.2,67.3,69.2,68.3,67.3,67.1,69.2,69.4,68.4
"단양군","계",64.2,66.1,66.2,66.1,61.9,64.9,63.3,66.1,65.5
"증평군","계",63.5,64.2,63.4,64.6,58.7,63.8,64.6,65.8,66.0
"천안시","계",62.0,64.0,64.8,64.9,63.6,64.1,62.9,63.8,63.6
"공주시","계",65.3,65.6,63.7,66.1,63.0,62.4,61.5,62.7,62.9
"보령시","계",64.3,64.2,65.4,64.9,64.4,64.0,63.0,63.6,68.3
"아산시","계",62.0,62.5,62.9,62.7,61.9,62.9,62.6,62.0,63.3
"서산시","계",64.9,66.3,66.1,68.3,66.5,67.2,67.1,67.8,67.4
"논산시","계",63.7,65.0,65.0,64.3,61.1,61.9,62.6,64.6,64.2
"계룡시","계",54.3,55.4,55.8,56.4,51.8,55.7,57.7,57.4,58.2
"당진시","계",70.0,69.9,69.2,70.7,68.1,68.9,68.7,68.8,69.2
"금산군","계",65.0,64.6,64.9,63.7,60.3,63.9,66.1,67.2,65.3
"연기군","계",-,-,-,-,-,-,-,-,-
"부여군","계",65.5,64.2,64.9,68.0,65.1,67.0,66.1,66.1,67.4
"서천군","계",67.0,67.8,68.8,68.5,65.8,67.2,67.0,69.2,66.6
"청양군","계",73.5,75.8,75.8,77.4,75.8,77.0,77.9,79.3,77.1
"홍성군","계",64.5,61.7,62.3,64.5,61.7,64.3,64.8,66.0,65.4
"예산군","계",65.8,66.8,64.6,65.5,64.6,65.5,64.5,67.7,67.5
"태안군","계",70.4,73.4,72.3,73.0,71.2,72.9,70.8,71.9,71.7
"전주시","계",54.0,55.8,57.9,58.3,57.0,58.0,57.9,60.1,59.9
"군산시","계",53.1,53.1,54.4,55.6,53.0,55.4,55.4,56.1,55.3
"익산시","계",52.7,55.5,55.0,55.2,55.7,57.0,56.2,58.3,57.4
"정읍시","계",58.6,60.1,58.4,60.9,60.6,61.2,64.5,64.1,64.9
"남원시","계",63.7,64.2,64.7,66.3,62.8,67.0,67.2,66.0,68.3
"김제시","계",60.7,59.7,61.3,61.6,62.0,63.0,63.2,64.5,64.9
"완주군","계",59.5,60.7,62.6,61.3,62.0,62.6,61.8,62.0,61.5
"진안군","계",71.4,70.2,70.1,71.8,70.9,73.9,71.4,72.2,72.6
"무주군","계",70.1,72.1,73.1,73.6,73.6,73.1,74.3,74.4,74.2
"장수군","계",75.3,76.2,76.0,76.4,79.6,79.6,78.8,79.5,80.1
"임실군","계",67.9,67.8,66.8,70.8,70.9,70.7,71.1,73.9,70.6
"순창군","계",65.5,66.4,67.9,69.4,65.4,66.8,68.7,71.7,72.6
"고창군","계",65.7,67.2,66.5,66.3,65.0,67.0,67.5,68.2,69.5
"부안군","계",69.9,68.7,68.5,70.7,68.3,71.3,70.0,70.2,70.8
"목포시","계",55.3,54.9,56.7,58.2,55.5,57.5,56.3,57.1,58.3
"여수시","계",59.5,62.1,63.0,62.4,61.4,63.9,62.8,64.0,64.1
"순천시","계",59.0,60.7,60.6,62.1,59.7,61.5,61.6,63.3,62.6
"나주시","계",64.7,65.9,66.0,67.8,64.6,66.0,66.6,67.6,65.8
"광양시","계",62.6,64.3,64.4,64.9,63.9,64.7,65.4,66.0,66.6
"담양군","계",65.8,65.6,66.0,66.8,65.2,66.4,65.1,68.6,66.1
"곡성군","계",65.9,65.3,69.6,68.0,64.7,69.0,67.8,68.7,70.7
"구례군","계",68.6,69.9,66.5,67.1,66.4,68.7,69.1,69.9,68.0
"고흥군","계",73.8,73.8,75.6,74.1,74.6,76.1,74.8,74.9,75.7
"보성군","계",66.1,66.8,68.7,69.3,70.3,72.2,70.9,72.8,72.7
"화순군","계",61.3,62.2,62.6,64.5,61.8,63.0,62.8,63.8,65.8
"장흥군","계",67.5,67.8,68.2,71.5,67.9,69.8,71.9,72.7,72.1
"강진군","계",68.4,68.9,70.0,69.6,68.1,68.7,70.0,70.2,69.4
"해남군","계",71.9,73.5,73.8,75.2,74.3,74.4,73.5,74.3,75.1
"영암군","계",63.3,63.0,64.4,64.8,65.8,67.3,68.7,69.7,70.3
"무안군","계",60.4,61.1,63.2,62.7,60.7,60.3,59.9,59.2,62.4
"함평군","계",67.7,68.6,70.0,67.4,65.6,68.4,69.1,70.4,71.2
"영광군","계",67.9,68.6,66.8,68.1,67.5,69.2,68.8,69.7,68.4
"장성군","계",64.0,65.3,66.5,68.8,67.2,67.2,68.3,67.6,67.7
"완도군","계",68.0,70.9,67.7,69.0,67.4,68.6,67.1,66.4,67.7
"진도군","계",68.8,68.8,69.9,70.5,69.9,71.6,73.5,73.6,75.4
"신안군","계",79.0,79.7,77.3,77.4,76.6,77.3,77.8,78.5,78.7
"포항시","계",60.7,60.9,61.1,61.9,57.3,57.8,58.0,58.5,59.4
"경주시","계",61.6,61.6,61.7,62.5,59.1,61.3,60.6,61.3,61.2
"김천시","계",57.8,59.4,58.9,60.0,59.6,61.9,62.7,64.7,65.4
"안동시","계",60.1,60.7,60.9,61.7,59.9,60.5,60.3,61.7,59.7
"구미시","계",62.8,63.1,61.1,61.6,59.1,60.1,60.1,60.5,62.5
"영주시","계",57.6,57.4,57.9,58.4,55.0,57.4,57.7,59.0,58.9
"영천시","계",66.1,67.6,67.3,69.0,65.8,66.4,66.0,67.3,66.3
"상주시","계",61.9,65.1,65.2,66.1,62.7,65.0,65.6,66.6,66.0
"문경시","계",59.3,58.5,61.3,61.2,61.2,61.9,60.7,60.6,59.9
"경산시","계",57.5,57.9,57.9,57.9,54.4,55.9,57.2,57.3,57.3
"군위군","계",71.8,73.1,70.4,72.9,70.6,71.4,73.4,70.6,73.2
"의성군","계",70.7,71.7,70.7,73.1,72.3,70.9,71.5,72.8,73.0
"청송군","계",71.3,75.0,74.2,75.9,74.2,75.5,77.3,79.7,80.1
"영양군","계",69.6,71.2,70.9,72.1,70.6,70.2,71.6,71.5,72.4
"영덕군","계",60.8,63.2,63.5,63.7,63.1,62.9,62.8,63.4,62.8
"청도군","계",70.1,70.5,69.4,71.0,68.0,69.9,69.9,71.4,71.3
"고령군","계",64.9,65.2,64.4,65.0,64.7,65.0,68.4,69.0,69.4
"성주군","계",70.8,70.3,70.0,69.6,67.6,68.7,69.0,68.7,69.0
"칠곡군","계",62.4,63.1,62.3,63.0,59.1,61.5,60.4,63.1,62.2
"예천군","계",66.7,67.2,68.9,70.2,69.0,66.8,68.7,69.9,70.9
"봉화군","계",72.1,72.1,71.7,71.5,70.3,72.0,72.7,73.0,73.2
"울진군","계",62.2,61.6,62.9,61.3,61.2,61.8,62.6,62.0,61.4
"울릉군","계",85.5,82.7,84.0,85.2,81.7,84.3,83.7,84.3,85.0
"진주시","계",58.2,55.9,58.1,57.6,54.8,56.4,57.0,57.6,57.9
"통영시","계",51.3,56.8,56.7,57.0,55.9,55.1,55.8,56.8,57.3
"사천시","계",63.2,64.3,63.5,63.9,61.5,63.2,62.1,62.6,63.6
"김해시","계",59.7,60.6,59.1,59.4,58.0,57.7,59.7,59.0,60.6
"밀양시","계",57.1,60.4,61.1,60.4,57.5,57.7,60.1,61.2,62.0
"거제시","계",58.6,59.1,61.1,61.9,59.6,59.1,57.7,59.8,59.3
"양산시","계",57.4,58.3,59.7,58.3,56.4,57.2,57.0,57.1,58.2
"창원시","계",59.1,59.7,60.3,60.0,56.1,58.1,59.2,58.6,58.7
"의령군","계",68.1,67.8,69.8,65.9,68.4,67.6,68.6,69.5,69.0
