"행정구역","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율"
"서울특별시  (1100000000)","9,729,107","4,327,605","          2.25","4,744,059","4,985,048","          0.95"
"서울특별시 종로구 (1111000000)","151,290","73,947","          2.05","73,746","77,544","          0.95"
"서울특별시 중구 (1114000000)","126,171","62,739","          2.01","61,910","64,261","          0.96"
"서울특별시 용산구 (1117000000)","228,670","110,126","          2.08","110,356","118,314","          0.93"
"서울특별시 성동구 (1120000000)","300,889","135,838","          2.22","147,273","153,616","          0.96"
"서울특별시 광진구 (1121500000)","351,350","164,428","          2.14","170,262","181,088","          0.94"
"서울특별시 동대문구 (1123000000)","346,194","164,191","          2.11","172,113","174,081","          0.99"
"서울특별시 중랑구 (1126000000)","397,015","181,579","          2.19","196,959","200,056","          0.98"
"서울특별시 성북구 (1129000000)","442,650","192,592","          2.30","214,437","228,213","          0.94"
"서울특별시 강북구 (1130500000)","313,954","144,277","          2.18","153,235","160,719","          0.95"
"서울특별시 도봉구 (1132000000)","333,362","138,508","          2.41","163,051","170,311","          0.96"
"서울특별시 노원구 (1135000000)","532,905","216,966","          2.46","257,923","274,982","          0.94"
"서울특별시 은평구 (1138000000)","480,032","207,681","          2.31","231,528","248,504","          0.93"
"서울특별시 서대문구 (1141000000)","309,397","140,157","          2.21","148,663","160,734","          0.92"
"서울특별시 마포구 (1144000000)","374,035","175,023","          2.14","176,891","197,144","          0.90"
"서울특별시 양천구 (1147000000)","458,165","177,256","          2.58","225,186","232,979","          0.97"
"서울특별시 강서구 (1150000000)","591,796","262,708","          2.25","286,563","305,233","          0.94"
"서울특별시 구로구 (1153000000)","406,664","176,568","          2.30","200,987","205,677","          0.98"
"서울특별시 금천구 (1154500000)","232,810","110,622","          2.10","118,209","114,601","          1.03"
"서울특별시 영등포구 (1156000000)","367,678","174,806","          2.10","182,438","185,240","          0.98"
"서울특별시 동작구 (1159000000)","395,963","180,753","          2.19","191,976","203,987","          0.94"
"서울특별시 관악구 (1162000000)","500,094","268,559","          1.86","251,009","249,085","          1.01"
"서울특별시 서초구 (1165000000)","430,826","173,199","          2.49","206,039","224,787","          0.92"
"서울특별시 강남구 (1168000000)","545,169","232,981","          2.34","260,806","284,363","          0.92"
"서울특별시 송파구 (1171000000)","675,961","278,711","          2.43","327,164","348,797","          0.94"
"서울특별시 강동구 (1174000000)","436,067","183,390","          2.38","215,335","220,732","          0.98"
"부산광역시  (2600000000)","3,413,841","1,497,908","          2.28","1,675,417","1,738,424","          0.96"
"부산광역시 중구 (2611000000)","41,910","23,160","          1.81","20,557","21,353","          0.96"
"부산광역시 서구 (2614000000)","108,229","52,786","          2.05","52,627","55,602","          0.95"
"부산광역시 동구 (2617000000)","88,165","44,657","          1.97","43,327","44,838","          0.97"
"부산광역시 영도구 (2620000000)","116,711","54,859","          2.13","57,629","59,082","          0.98"
"부산광역시 부산진구 (2623000000)","357,880","166,865","          2.14","173,446","184,434","          0.94"
"부산광역시 동래구 (2626000000)","271,247","112,136","          2.42","132,295","138,952","          0.95"
"부산광역시 남구 (2629000000)","274,480","117,397","          2.34","134,519","139,961","          0.96"
"부산광역시 북구 (2632000000)","291,132","120,273","          2.42","144,229","146,903","          0.98"
"부산광역시 해운대구 (2635000000)","406,102","168,650","          2.41","195,960","210,142","          0.93"
"부산광역시 사하구 (2638000000)","321,004","138,790","          2.31","160,101","160,903","          1.00"
"부산광역시 금정구 (2641000000)","239,062","107,024","          2.23","117,070","121,992","          0.96"
"부산광역시 강서구 (2644000000)","129,566","53,731","          2.41","66,982","62,584","          1.07"
"부산광역시 연제구 (2647000000)","209,395","90,266","          2.32","101,253","108,142","          0.94"
"부산광역시 수영구 (2650000000)","176,148","81,452","          2.16","83,565","92,583","          0.90"
"부산광역시 사상구 (2653000000)","218,094","96,726","          2.25","110,286","107,808","          1.02"
"부산광역시 기장군 (2671000000)","164,716","69,136","          2.38","81,571","83,145","          0.98"
"대구광역시  (2700000000)","2,438,031","1,031,251","          2.36","1,205,286","1,232,745","          0.98"
"대구광역시 중구 (2711000000)","77,421","38,418","          2.02","37,384","40,037","          0.93"
"대구광역시 동구 (2714000000)","345,469","152,545","          2.26","170,601","174,868","          0.98"
"대구광역시 서구 (2717000000)","175,277","82,733","          2.12","88,052","87,225","          1.01"
"대구광역시 남구 (2720000000)","148,113","74,588","          1.99","71,366","76,747","          0.93"
"대구광역시 북구 (2723000000)","437,710","180,115","          2.43","218,150","219,560","          0.99"
"대구광역시 수성구 (2726000000)","428,614","167,040","          2.57","208,024","220,590","          0.94"
"대구광역시 달서구 (2729000000)","568,887","231,978","          2.45","281,348","287,539","          0.98"
"대구광역시 달성군 (2771000000)","256,540","103,834","          2.47","130,361","126,179","          1.03"
"인천광역시  (2800000000)","2,957,026","1,238,641","          2.39","1,482,249","1,474,777","          1.01"
"인천광역시 중구 (2811000000)","135,135","65,002","          2.08","70,063","65,072","          1.08"
"인천광역시 동구 (2814000000)","64,427","28,739","          2.24","32,536","31,891","          1.02"
"인천광역시 미추홀구 (2817700000)","408,862","184,872","          2.21","206,129","202,733","          1.02"
"인천광역시 연수구 (2818500000)","366,550","140,700","          2.61","182,374","184,176","          0.99"
"인천광역시 남동구 (2820000000)","532,704","221,455","          2.41","264,955","267,749","          0.99"
"인천광역시 부평구 (2823700000)","511,577","211,851","          2.41","253,338","258,239","          0.98"
"인천광역시 계양구 (2824500000)","303,471","123,283","          2.46","151,569","151,902","          1.00"
"인천광역시 서구 (2826000000)","544,556","217,887","          2.50","274,942","269,614","          1.02"
"인천광역시 강화군 (2871000000)","69,178","33,163","          2.09","34,665","34,513","          1.00"
"인천광역시 옹진군 (2872000000)","20,566","11,689","          1.76","11,678","8,888","          1.31"
"광주광역시  (2900000000)","1,456,468","616,485","          2.36","720,740","735,728","          0.98"
"광주광역시 동구 (2911000000)","98,585","47,885","          2.06","48,799","49,786","          0.98"
"광주광역시 서구 (2914000000)","300,975","128,783","          2.34","147,671","153,304","          0.96"
"광주광역시 남구 (2915500000)","218,060","92,233","          2.36","105,027","113,033","          0.93"
"광주광역시 북구 (2917000000)","433,533","187,015","          2.32","215,260","218,273","          0.99"
"광주광역시 광산구 (2920000000)","405,315","160,569","          2.52","203,983","201,332","          1.01"
"대전광역시  (3000000000)","1,474,870","635,343","          2.32","736,607","738,263","          1.00"
"대전광역시 동구 (3011000000)","226,771","104,064","          2.18","114,447","112,324","          1.02"
"대전광역시 중구 (3014000000)","240,473","106,379","          2.26","118,864","121,609","          0.98"
"대전광역시 서구 (3017000000)","481,222","203,754","          2.36","236,851","244,371","          0.97"
"대전광역시 유성구 (3020000000)","349,373","145,305","          2.40","176,415","172,958","          1.02"
"대전광역시 대덕구 (3023000000)","177,031","75,841","          2.33","90,030","87,001","          1.03"
"울산광역시  (3100000000)","1,148,019","468,659","          2.45","589,712","558,307","          1.06"
"울산광역시 중구 (3111000000)","223,581","93,062","          2.40","113,526","110,055","          1.03"
"울산광역시 남구 (3114000000)","323,819","135,311","          2.39","165,062","158,757","          1.04"
"울산광역시 동구 (3117000000)","159,656","65,183","          2.45","83,391","76,265","          1.09"
"울산광역시 북구 (3120000000)","217,796","81,144","          2.68","112,588","105,208","          1.07"
"울산광역시 울주군 (3171000000)","223,167","93,959","          2.38","115,145","108,022","          1.07"
"세종특별자치시  (3600000000)","340,575","135,408","          2.52","169,845","170,730","          0.99"
"세종특별자치시  (3611000000)","340,575","135,408","          2.52","169,845","170,730","          0.99"
"경기도  (4100000000)","13,239,666","5,468,920","          2.42","6,659,995","6,579,671","          1.01"
"경기도 수원시 (4111000000)","1,194,465","498,836","          2.39","601,410","593,055","          1.01"
"경기도 수원시 장안구 (4111100000)","278,377","115,180","          2.42","140,218","138,159","          1.01"
"경기도 수원시 권선구 (4111300000)","371,754","152,733","          2.43","187,627","184,127","          1.02"
"경기도 수원시 팔달구 (4111500000)","175,866","84,282","          2.09","88,523","87,343","          1.01"
"경기도 수원시 영통구 (4111700000)","368,468","146,641","          2.51","185,042","183,426","          1.01"
"경기도 성남시 (4113000000)","942,724","400,460","          2.35","466,644","476,080","          0.98"
"경기도 성남시 수정구 (4113100000)","234,678","110,333","          2.13","118,631","116,047","          1.02"
"경기도 성남시 중원구 (4113300000)","220,041","99,940","          2.20","111,444","108,597","          1.03"
"경기도 성남시 분당구 (4113500000)","488,005","190,187","          2.57","236,569","251,436","          0.94"
"경기도 의정부시 (4115000000)","451,868","190,760","          2.37","222,590","229,278","          0.97"
"경기도 안양시 (4117000000)","567,044","222,589","          2.55","280,652","286,392","          0.98"
"경기도 안양시 만안구 (4117100000)","244,235","100,974","          2.42","122,326","121,909","          1.00"
"경기도 안양시 동안구 (4117300000)","322,809","121,615","          2.65","158,326","164,483","          0.96"
"경기도 부천시 (4119000000)","829,996","340,160","          2.44","412,500","417,496","          0.99"
"경기도 광명시 (4121000000)","316,552","126,001","          2.51","156,405","160,147","          0.98"
"경기도 평택시 (4122000000)","513,027","226,020","          2.27","264,012","249,015","          1.06"
"경기도 동두천시 (4125000000)","94,768","42,999","          2.20","47,308","47,460","          1.00"
"경기도 안산시 (4127000000)","650,918","277,331","          2.35","333,766","317,152","          1.05"
"경기도 안산시 상록구 (4127100000)","344,613","147,231","          2.34","175,789","168,824","          1.04"
"경기도 안산시 단원구 (4127300000)","306,305","130,100","          2.35","157,977","148,328","          1.07"
"경기도 고양시 (4128000000)","1,066,351","434,028","          2.46","522,749","543,602","          0.96"
"경기도 고양시 덕양구 (4128100000)","466,157","195,766","          2.38","230,858","235,299","          0.98"
"경기도 고양시 일산동구 (4128500000)","297,671","122,981","          2.42","144,991","152,680","          0.95"
"경기도 고양시 일산서구 (4128700000)","302,523","115,281","          2.62","146,900","155,623","          0.94"
"경기도 과천시 (4129000000)","58,289","21,467","          2.72","28,638","29,651","          0.97"
"경기도 구리시 (4131000000)","199,265","79,870","          2.49","98,968","100,297","          0.99"
"경기도 남양주시 (4136000000)","701,830","276,656","          2.54","349,664","352,166","          0.99"
"경기도 오산시 (4137000000)","226,379","95,209","          2.38","116,904","109,475","          1.07"
"경기도 시흥시 (4139000000)","473,682","194,750","          2.43","247,804","225,878","          1.10"
"경기도 군포시 (4141000000)","275,852","110,005","          2.51","136,878","138,974","          0.98"
"경기도 의왕시 (4143000000)","161,153","62,387","          2.58","80,353","80,800","          0.99"
"경기도 하남시 (4145000000)","272,455","115,792","          2.35","136,985","135,470","          1.01"
"경기도 용인시 (4146000000)","1,059,609","406,880","          2.60","525,946","533,663","          0.99"
"경기도 용인시 처인구 (4146100000)","253,896","107,544","          2.36","130,034","123,862","          1.05"
"경기도 용인시 기흥구 (4146300000)","436,679","164,904","          2.65","215,796","220,883","          0.98"
"경기도 용인시 수지구 (4146500000)","369,034","134,432","          2.75","180,116","188,918","          0.95"
"경기도 파주시 (4148000000)","454,040","191,668","          2.37","230,461","223,579","          1.03"
"경기도 이천시 (4150000000)","215,834","92,643","          2.33","111,244","104,590","          1.06"
"경기도 안성시 (4155000000)","183,405","81,599","          2.25","94,227","89,178","          1.06"
"경기도 김포시 (4157000000)","437,221","174,613","          2.50","219,552","217,669","          1.01"
"경기도 화성시 (4159000000)","815,396","327,797","          2.49","422,470","392,926","          1.08"
"경기도 광주시 (4161000000)","372,654","156,884","          2.38","190,774","181,880","          1.05"
"경기도 양주시 (4163000000)","222,314","93,026","          2.39","112,775","109,539","          1.03"
"경기도 포천시 (4165000000)","148,379","69,976","          2.12","78,231","70,148","          1.12"
"경기도 여주시 (4167000000)","111,083","50,334","          2.21","56,427","54,656","          1.03"
"경기도 연천군 (4180000000)","43,824","21,630","          2.03","22,962","20,862","          1.10"
"경기도 가평군 (4182000000)","62,415","30,768","          2.03","32,042","30,373","          1.05"
"경기도 양평군 (4183000000)","116,874","55,782","          2.10","58,654","58,220","          1.01"
"강원도  (4200000000)","1,541,502","719,524","          2.14","775,386","766,116","          1.01"
"강원도 춘천시 (4211000000)","281,291","123,006","          2.29","138,700","142,591","          0.97"
"강원도 원주시 (4213000000)","349,215","154,583","          2.26","173,425","175,790","          0.99"
"강원도 강릉시 (4215000000)","213,442","99,086","          2.15","105,893","107,549","          0.98"
"강원도 동해시 (4217000000)","90,522","41,141","          2.20","45,845","44,677","          1.03"
"강원도 태백시 (4219000000)","43,866","21,798","          2.01","22,168","21,698","          1.02"
"강원도 속초시 (4221000000)","81,786","38,689","          2.11","40,420","41,366","          0.98"
"강원도 삼척시 (4223000000)","67,228","34,082","          1.97","34,038","33,190","          1.03"
"강원도 홍천군 (4272000000)","69,150","33,142","          2.09","35,359","33,791","          1.05"
"강원도 횡성군 (4273000000)","46,575","22,832","          2.04","23,785","22,790","          1.04"
"강원도 영월군 (4275000000)","39,127","21,044","          1.86","20,143","18,984","          1.06"
"강원도 평창군 (4276000000)","42,106","21,379","          1.97","21,550","20,556","          1.05"
"강원도 정선군 (4277000000)","37,271","19,974","          1.87","19,360","17,911","          1.08"
"강원도 철원군 (4278000000)","45,584","21,216","          2.15","23,767","21,817","          1.09"
"강원도 화천군 (4279000000)","24,917","12,603","          1.98","13,495","11,422","          1.18"
"강원도 양구군 (4280000000)","22,764","10,840","          2.10","12,082","10,682","          1.13"
"강원도 인제군 (4281000000)","31,672","15,583","          2.03","17,143","14,529","          1.18"
"강원도 고성군 (4282000000)","27,260","14,445","          1.89","14,114","13,146","          1.07"
"강원도 양양군 (4283000000)","27,726","14,081","          1.97","14,099","13,627","          1.03"
"충청북도  (4300000000)","1,600,007","722,123","          2.22","810,384","789,623","          1.03"
"충청북도 청주시 (4311000000)","839,566","360,496","          2.33","422,864","416,702","          1.01"
"충청북도 청주시 상당구 (4311100000)","178,352","73,870","          2.41","88,765","89,587","          0.99"
"충청북도 청주시 서원구 (4311200000)","203,209","87,148","          2.33","100,853","102,356","          0.99"
"충청북도 청주시 흥덕구 (4311300000)","262,137","114,477","          2.29","132,999","129,138","          1.03"
"충청북도 청주시 청원구 (4311400000)","195,868","85,001","          2.30","100,247","95,621","          1.05"
"충청북도 충주시 (4313000000)","210,737","95,648","          2.20","106,569","104,168","          1.02"
"충청북도 제천시 (4315000000)","134,617","63,417","          2.12","67,459","67,158","          1.00"
