시도,시군구,행정번호,,
서울특별시,서울종로구,1111000000,,서울특별시 종로구 (1111000000)
서울특별시,서울중구,1114000000,,서울특별시 중구 (1114000000)
서울특별시,서울용산구,1117000000,,서울특별시 용산구 (1117000000)
서울특별시,서울성동구,1120000000,,서울특별시 성동구 (1120000000)
서울특별시,서울광진구,1121500000,,서울특별시 광진구 (1121500000)
서울특별시,서울동대문구,1123000000,,서울특별시 동대문구 (1123000000)
서울특별시,서울중랑구,1126000000,,서울특별시 중랑구 (1126000000)
서울특별시,서울성북구,1129000000,,서울특별시 성북구 (1129000000)
서울특별시,서울강북구,1130500000,,서울특별시 강북구 (1130500000)
서울특별시,서울도봉구,1132000000,,서울특별시 도봉구 (1132000000)
서울특별시,서울노원구,1135000000,,서울특별시 노원구 (1135000000)
서울특별시,서울은평구,1138000000,,서울특별시 은평구 (1138000000)
서울특별시,서울서대문구,1141000000,,서울특별시 서대문구 (1141000000)
서울특별시,서울마포구,1144000000,,서울특별시 마포구 (1144000000)
서울특별시,서울양천구,1147000000,,서울특별시 양천구 (1147000000)
서울특별시,서울강서구,1150000000,,서울특별시 강서구 (1150000000)
서울특별시,서울구로구,1153000000,,서울특별시 구로구 (1153000000)
서울특별시,서울금천구,1154500000,,서울특별시 금천구 (1154500000)
서울특별시,서울영등포구,1156000000,,서울특별시 영등포구 (1156000000)
서울특별시,서울동작구,1159000000,,서울특별시 동작구 (1159000000)
서울특별시,서울관악구,1162000000,,서울특별시 관악구 (1162000000)
서울특별시,서울서초구,1165000000,,서울특별시 서초구 (1165000000)
서울특별시,서울강남구,1168000000,,서울특별시 강남구 (1168000000)
서울특별시,서울송파구,1171000000,,서울특별시 송파구 (1171000000)
서울특별시,서울강동구,1174000000,,서울특별시 강동구 (1174000000)
부산광역시,부산중구,2611000000,,부산광역시 중구 (2611000000)
부산광역시,부산서구,2614000000,,부산광역시 서구 (2614000000)
부산광역시,부산동구,2617000000,,부산광역시 동구 (2617000000)
부산광역시,부산영도구,2620000000,,부산광역시 영도구 (2620000000)
부산광역시,부산부산진구,2623000000,,부산광역시 부산진구 (2623000000)
부산광역시,부산동래구,2626000000,,부산광역시 동래구 (2626000000)
부산광역시,부산남구,2629000000,,부산광역시 남구 (2629000000)
부산광역시,부산북구,2632000000,,부산광역시 북구 (2632000000)
부산광역시,부산해운대구,2635000000,,부산광역시 해운대구 (2635000000)
부산광역시,부산사하구,2638000000,,부산광역시 사하구 (2638000000)
부산광역시,부산금정구,2641000000,,부산광역시 금정구 (2641000000)
부산광역시,부산강서구,2644000000,,부산광역시 강서구 (2644000000)
부산광역시,부산연제구,2647000000,,부산광역시 연제구 (2647000000)
부산광역시,부산수영구,2650000000,,부산광역시 수영구 (2650000000)
부산광역시,부산사상구,2653000000,,부산광역시 사상구 (2653000000)
부산광역시,부산기장군,2671000000,,부산광역시 기장군 (2671000000)
대구광역시,대구중구,2711000000,,대구광역시 중구 (2711000000)
대구광역시,대구동구,2714000000,,대구광역시 동구 (2714000000)
대구광역시,대구서구,2717000000,,대구광역시 서구 (2717000000)
대구광역시,대구남구,2720000000,,대구광역시 남구 (2720000000)
대구광역시,대구북구,2723000000,,대구광역시 북구 (2723000000)
대구광역시,대구수성구,2726000000,,대구광역시 수성구 (2726000000)
대구광역시,대구달서구,2729000000,,대구광역시 달서구 (2729000000)
대구광역시,대구달성군,2771000000,,대구광역시 달성군 (2771000000)
