시도명,시군구,2020년,,,,,,,,,,,,,2021년,,,,,,,,,,,,,2022년,,,,,,,,,,,,,2023년,,,,,,,,
,,전체,1월('20.1.20.~),2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,전체,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,전체,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,전체,1월,2월,3월,4월,5월,6월,7월,8월 (~'23.8.31.)
서울,합계," 18,992 ", 7 , 67 , 376 , 183 , 228 , 451 , 288 ," 2,268 "," 1,425 ", 718 ," 2,800 "," 10,181 "," 206,110 "," 5,159 "," 4,079 "," 3,794 "," 5,807 "," 6,077 "," 6,072 "," 14,363 "," 14,999 "," 21,127 "," 19,095 "," 34,661 "," 70,877 "," 5,436,498 "," 51,989 "," 498,495 "," 1,982,680 "," 722,213 "," 135,163 "," 49,091 "," 311,555 "," 583,045 "," 269,968 "," 159,698 "," 306,495 "," 366,106 "," 1,089,623 "," 201,310 "," 59,929 "," 64,597 "," 89,266 "," 127,315 "," 109,613 "," 184,166 "," 253,427 "
서울,강남구," 1,112 ", - , 6 , 32 , 27 , 18 , 15 , 18 , 95 , 109 , 78 , 186 , 528 ," 13,692 ", 246 , 137 , 288 , 624 , 642 , 898 ," 1,443 "," 1,283 "," 1,445 "," 1,042 "," 1,594 "," 4,050 "," 370,766 "," 4,185 "," 32,973 "," 126,795 "," 49,102 "," 10,770 "," 4,652 "," 25,285 "," 39,413 "," 16,790 "," 11,110 "," 21,915 "," 27,776 "," 81,130 "," 13,950 "," 4,678 "," 5,336 "," 6,827 "," 9,922 "," 8,224 "," 13,672 "," 18,521 "
서울,강동구, 613 , - , 3 , 4 , 4 , 11 , 10 , 18 , 98 , 58 , 20 , 69 , 318 ," 8,973 ", 203 , 182 , 249 , 265 , 342 , 277 , 520 , 468 , 849 , 978 ," 1,599 "," 3,041 "," 260,837 "," 2,307 "," 26,294 "," 92,226 "," 34,974 "," 6,185 "," 1,970 "," 14,426 "," 28,194 "," 13,296 "," 7,893 "," 15,181 "," 17,891 "," 51,691 "," 9,499 "," 2,958 "," 3,246 "," 4,083 "," 5,710 "," 4,877 "," 8,763 "," 12,555 "
서울,강북구, 394 , - , - , 5 , - , 7 , 6 , 5 , 81 , 33 , 13 , 35 , 209 ," 6,425 ", 181 , 116 , 117 , 131 , 245 , 162 , 342 , 322 , 565 , 653 ," 1,121 "," 2,470 "," 154,069 "," 1,201 "," 15,298 "," 59,871 "," 20,391 "," 3,163 ", 953 ," 6,907 "," 16,392 "," 7,924 "," 4,272 "," 8,707 "," 8,990 "," 28,700 "," 5,339 "," 1,631 "," 1,575 "," 2,215 "," 3,419 "," 2,888 "," 5,137 "," 6,496 "
서울,강서구," 1,341 ", - , 1 , 18 , 5 , 18 , 30 , 24 , 94 , 65 , 25 , 322 , 739 ," 9,483 ", 226 , 105 , 120 , 221 , 173 , 218 , 585 , 718 , 930 , 764 ," 1,780 "," 3,643 "," 313,326 "," 2,429 "," 28,885 "," 110,660 "," 42,697 "," 7,487 "," 2,897 "," 18,048 "," 33,685 "," 15,832 "," 9,968 "," 17,709 "," 23,029 "," 65,241 "," 12,879 "," 3,653 "," 3,746 "," 4,984 "," 7,279 "," 6,510 "," 10,533 "," 15,657 "
서울,관악구, 975 , - , 2 , 24 , 13 , 14 , 53 , 31 , 103 , 141 , 78 , 63 , 453 ," 9,559 ", 161 , 169 , 134 , 287 , 208 , 255 ," 1,025 ", 938 , 956 , 723 ," 1,558 "," 3,145 "," 252,078 "," 2,825 "," 21,699 "," 90,304 "," 34,257 "," 6,140 "," 2,167 "," 15,355 "," 28,682 "," 13,408 "," 7,267 "," 13,367 "," 16,607 "," 51,005 "," 9,358 "," 2,701 "," 2,793 "," 4,453 "," 5,851 "," 4,876 "," 8,989 "," 11,984 "
서울,광진구, 458 , - , - , 7 , 3 , 6 , 4 , 5 , 77 , 43 , 12 , 47 , 254 ," 7,031 ", 149 , 158 , 265 , 255 , 229 , 237 , 484 , 573 , 928 , 552 ," 1,037 "," 2,164 "," 193,320 "," 2,111 "," 19,315 "," 72,191 "," 24,670 "," 4,793 "," 1,693 "," 11,068 "," 20,355 "," 9,654 "," 5,349 "," 10,298 "," 11,823 "," 36,176 "," 6,684 "," 2,083 "," 2,185 "," 3,127 "," 4,171 "," 3,442 "," 6,001 "," 8,483 "
서울,구로구, 742 , - , - , 53 , 5 , 6 , 41 , 6 , 46 , 36 , 23 , 63 , 463 ," 10,583 ", 223 , 259 , 125 , 140 , 183 , 168 , 596 , 683 ," 1,588 "," 1,652 "," 1,948 "," 3,018 "," 235,649 "," 2,055 "," 20,305 "," 87,693 "," 33,376 "," 5,527 "," 1,619 "," 11,785 "," 25,581 "," 12,860 "," 6,574 "," 12,575 "," 15,699 "," 45,388 "," 8,861 "," 2,334 "," 2,473 "," 3,302 "," 5,260 "," 4,689 "," 7,548 "," 10,921 "
서울,금천구, 335 , - , - , 9 , - , 4 , 19 , 6 , 47 , 34 , 9 , 24 , 183 ," 5,811 ", 78 , 65 , 25 , 80 , 143 , 88 , 333 , 417 , 608 , 692 ," 1,189 "," 2,093 "," 138,537 "," 1,179 "," 11,353 "," 54,058 "," 18,618 "," 3,103 ", 999 ," 6,232 "," 15,042 "," 7,245 "," 3,724 "," 7,532 "," 9,452 "," 27,093 "," 5,300 "," 1,622 "," 1,335 "," 2,114 "," 3,274 "," 2,544 "," 4,488 "," 6,416 "
서울,노원구, 780 , - , 4 , 15 , 3 , 8 , 13 , 5 , 172 , 74 , 31 , 145 , 310 ," 8,239 ", 218 , 177 , 193 , 230 , 324 , 214 , 506 , 408 , 645 , 811 ," 1,433 "," 3,080 "," 267,026 "," 2,287 "," 22,411 "," 94,419 "," 36,657 "," 7,069 "," 2,398 "," 15,303 "," 30,087 "," 14,352 "," 8,280 "," 16,384 "," 17,379 "," 51,819 "," 9,646 "," 2,862 "," 3,022 "," 4,580 "," 6,062 "," 5,249 "," 8,359 "," 12,039 "
서울,도봉구, 616 , - , - , 6 , 3 , 9 , 43 , 3 , 61 , 113 , 55 , 82 , 241 ," 6,055 ", 171 , 129 , 104 , 198 , 218 , 95 , 371 , 236 , 507 , 559 ," 1,029 "," 2,438 "," 160,509 "," 1,410 "," 17,135 "," 62,794 "," 20,765 "," 3,483 ", 910 ," 7,773 "," 16,196 "," 7,808 "," 4,750 "," 8,357 "," 9,128 "," 28,520 "," 5,073 "," 1,340 "," 1,621 "," 2,333 "," 3,242 "," 3,136 "," 4,960 "," 6,815 "
서울,동대문구, 779 , - , - , 29 , 5 , 3 , 7 , 10 , 98 , 42 , 30 , 123 , 432 ," 10,069 ", 253 , 204 , 152 , 286 , 250 , 194 , 393 , 464 , 998 ," 1,094 "," 1,872 "," 3,909 "," 185,533 "," 2,089 "," 18,482 "," 73,594 "," 23,791 "," 4,300 "," 1,320 "," 9,098 "," 17,971 "," 8,923 "," 5,251 "," 9,770 "," 10,944 "," 34,835 "," 6,399 "," 2,105 "," 2,138 "," 3,032 "," 4,176 "," 3,614 "," 5,868 "," 7,503 "
서울,동작구, 825 , - , 2 , 21 , 13 , 9 , 15 , 16 , 100 , 68 , 35 , 123 , 423 ," 8,157 ", 217 , 156 , 175 , 287 , 252 , 229 , 730 , 645 , 729 , 640 ," 1,440 "," 2,657 "," 201,024 "," 2,056 "," 19,460 "," 74,752 "," 25,931 "," 4,977 "," 1,888 "," 11,305 "," 21,282 "," 10,033 "," 5,826 "," 10,367 "," 13,147 "," 38,869 "," 7,261 "," 2,163 "," 2,399 "," 2,897 "," 4,443 "," 3,954 "," 6,718 "," 9,034 "
서울,마포구, 635 , 1 , 2 , 11 , 7 , 4 , 9 , 13 , 55 , 27 , 23 , 94 , 389 ," 6,142 ", 144 , 103 , 97 , 164 , 166 , 208 , 578 , 712 , 689 , 546 , 801 ," 1,934 "," 221,338 "," 2,013 "," 19,273 "," 74,925 "," 29,719 "," 5,942 "," 2,426 "," 14,895 "," 24,890 "," 10,776 "," 6,921 "," 13,169 "," 16,389 "," 48,715 "," 8,951 "," 2,500 "," 2,920 "," 3,937 "," 5,736 "," 5,249 "," 8,174 "," 11,248 "
서울,서대문구, 569 , - , 1 , 18 , 5 , 10 , 10 , 7 , 59 , 57 , 14 , 133 , 255 ," 5,635 ", 167 , 102 , 58 , 94 , 173 , 159 , 363 , 492 , 567 , 434 , 964 ," 2,062 "," 167,685 "," 1,619 "," 13,738 "," 62,510 "," 21,522 "," 4,331 "," 1,475 "," 9,935 "," 18,424 "," 8,324 "," 5,002 "," 9,807 "," 10,998 "," 31,965 "," 6,216 "," 1,783 "," 1,790 "," 2,758 "," 3,697 "," 3,317 "," 5,253 "," 7,151 "
서울,서초구, 933 , - , 2 , 20 , 14 , 4 , 12 , 7 , 77 , 56 , 49 , 255 , 437 ," 10,197 ", 213 , 160 , 185 , 387 , 313 , 390 , 926 , 991 , 986 , 787 ," 1,520 "," 3,339 "," 251,669 "," 2,956 "," 26,058 "," 86,415 "," 33,290 "," 6,834 "," 2,821 "," 16,750 "," 26,515 "," 11,956 "," 6,927 "," 14,018 "," 17,129 "," 49,210 "," 9,498 "," 2,773 "," 3,288 "," 4,111 "," 5,726 "," 4,713 "," 8,247 "," 10,854 "
서울,성동구, 500 , - , 3 , 4 , 13 , 22 , 9 , 7 , 36 , 29 , 16 , 106 , 255 ," 5,451 ", 188 , 159 , 132 , 172 , 158 , 203 , 479 , 343 , 540 , 448 , 791 ," 1,838 "," 168,233 "," 1,545 "," 15,300 "," 63,453 "," 21,706 "," 4,216 "," 1,696 "," 9,252 "," 17,793 "," 7,592 "," 4,922 "," 9,709 "," 11,049 "," 33,373 "," 6,354 "," 1,754 "," 1,975 "," 2,848 "," 4,001 "," 3,111 "," 5,584 "," 7,746 "
서울,성북구, 718 , 1 , - , 10 , 8 , 6 , 7 , 6 , 189 , 46 , 10 , 89 , 346 ," 8,423 ", 189 , 231 , 137 , 199 , 257 , 239 , 486 , 505 , 739 , 836 ," 1,653 "," 2,952 "," 216,777 "," 1,992 "," 19,821 "," 80,170 "," 29,093 "," 5,304 "," 2,212 "," 11,417 "," 22,719 "," 11,032 "," 6,411 "," 12,963 "," 13,643 "," 39,999 "," 7,159 "," 2,329 "," 2,631 "," 3,380 "," 4,680 "," 4,196 "," 6,690 "," 8,934 "
