행정구역,2018년12월_평균연령,2019년12월_평균연령,2020년12월_평균연령,2021년12월_평균연령,2022년12월_평균연령
경기도  (4100000000),40.3,40.8,41.4,41.9,42.4
경기도 수원시 (4111000000),38.9,39.5,40.2,40.7,41.2
경기도 수원시 장안구 (4111100000),40.4,41.1,41.9,42.3,42.9
경기도 수원시 권선구 (4111300000),39.1,39.8,40.5,41.1,41.7
경기도 수원시 팔달구 (4111500000),42.2,42.9,43.4,43.4,43.3
경기도 수원시 영통구 (4111700000),36,36.5,37.2,37.8,38.3
경기도 성남시 (4113000000),41.1,41.7,42.2,42.6,43.1
경기도 성남시 수정구 (4113100000),42.7,43.3,43.7,44.1,44.6
경기도 성남시 중원구 (4113300000),42.6,43.3,43.9,44.4,44.7
경기도 성남시 분당구 (4113500000),39.7,40.2,40.7,41.2,41.7
경기도 의정부시 (4115000000),41.7,42.3,42.8,43.3,43.8
경기도 안양시 (4117000000),41,41.7,42.3,42.8,43.3
경기도 안양시 만안구 (4117100000),42.4,43.2,43.9,44.4,44.9
경기도 안양시 동안구 (4117300000),39.9,40.5,41.2,41.6,42
경기도 부천시 (4119000000),41.2,42,42.7,43.4,44
경기도 광명시 (4121000000),40.8,41.5,42,42.5,43
경기도 평택시 (4122000000),40,40.4,40.6,40.8,41.1
경기도 동두천시 (4125000000),44.1,44.9,45.7,46.2,46.9
경기도 안산시 (4127000000),39.9,40.7,41.3,41.9,42.6
경기도 안산시 상록구 (4127100000),40.1,40.9,41.5,42.1,42.8
경기도 안산시 단원구 (4127300000),39.8,40.4,41.1,41.7,42.4
경기도 고양시 (4128000000),41,41.5,42.1,42.7,43.3
경기도 고양시 덕양구 (4128100000),41.6,42.1,42.6,43.1,43.5
경기도 고양시 일산동구 (4128500000),40.7,41.4,42,42.6,43.2
경기도 고양시 일산서구 (4128700000),40.2,40.8,41.5,42.3,43.1
경기도 과천시 (4129000000),41.5,41.9,42,41.8,41.6
경기도 구리시 (4131000000),40.8,41.6,42.3,42.9,43.6
경기도 남양주시 (4136000000),40.5,40.9,41.5,42.1,42.6
경기도 오산시 (4137000000),37.1,37.8,38.4,39.2,39.9
경기도 시흥시 (4139000000),38.6,38.9,39.4,40,40.5
경기도 군포시 (4141000000),40.5,41.2,42,42.8,43.4
경기도 의왕시 (4143000000),41.5,41.9,42.1,42.7,43.3
경기도 하남시 (4145000000),40.1,40.3,40.5,40.6,41
경기도 용인시 (4146000000),39.4,39.9,40.5,41.1,41.7
경기도 용인시 처인구 (4146100000),41,41.6,42.2,42.8,43.4
경기도 용인시 기흥구 (4146300000),38.7,39.4,40.1,40.7,41.4
경기도 용인시 수지구 (4146500000),39,39.4,39.9,40.4,40.9
경기도 파주시 (4148000000),40,40.6,41.1,41.5,42
경기도 이천시 (4150000000),40.5,41,41.6,42.1,42.6
경기도 안성시 (4155000000),42.6,43.3,43.9,44.5,45.1
경기도 김포시 (4157000000),39,39.5,39.7,40.2,40.8
경기도 화성시 (4159000000),36.6,36.9,37.4,37.9,38.4
경기도 광주시 (4161000000),40.5,41.1,41.7,42.4,43
경기도 양주시 (4163000000),41.6,42.1,42.5,43,43.5
경기도 포천시 (4165000000),45,45.9,46.7,47.3,48
경기도 여주시 (4167000000),45.3,46.1,46.7,47.4,48
경기도 연천군 (4180000000),47,47.8,48.5,49.2,50
경기도 가평군 (4182000000),48.1,48.8,49.5,50.1,50.7
경기도 양평군 (4183000000),47.5,48.2,48.9,49.4,50
