행정구역,2018년12월_평균연령,2019년12월_평균연령,2020년12월_평균연령,2021년12월_평균연령,2022년12월_평균연령
경상북도  (4700000000),44.9,45.6,46.3,46.9,47.5
경상북도 포항시 (4711000000),42.8,43.5,44.2,44.7,45.4
경상북도 포항시 남구 (4711100000),42.8,43.5,44.3,44.9,45.5
경상북도 포항시 북구 (4711300000),42.8,43.4,44,44.6,45.3
경상북도 경주시 (4713000000),45.8,46.5,47.2,47.9,48.5
경상북도 김천시 (4715000000),45.6,46.1,46.7,47.2,47.7
경상북도 안동시 (4717000000),46.3,47,47.6,48.1,48.7
경상북도 구미시 (4719000000),37.7,38.4,39.1,39.8,40.5
경상북도 영주시 (4721000000),47.7,48.5,49.3,49.8,50.3
경상북도 영천시 (4723000000),49,49.4,50.1,50.7,51.3
경상북도 상주시 (4725000000),50.2,50.7,51.6,52.2,52.7
경상북도 문경시 (4728000000),49.7,50.1,50.8,51.4,51.9
경상북도 경산시 (4729000000),42.2,42.8,43.5,44,44.5
경상북도 군위군 (4772000000),55.8,56.5,57.6,58.4,58.8
경상북도 의성군 (4773000000),56,56.5,57.3,58.1,58.5
경상북도 청송군 (4775000000),54.1,54.8,55.7,56.4,57.1
경상북도 영양군 (4776000000),53.8,54.4,55.3,55.9,56.6
경상북도 영덕군 (4777000000),53.3,54,55,55.9,56.4
경상북도 청도군 (4782000000),54.3,54.9,55.7,56.4,57
경상북도 고령군 (4783000000),50.6,51.5,52.6,53.5,54.2
경상북도 성주군 (4784000000),51.6,52.4,53.3,54.1,54.9
경상북도 칠곡군 (4785000000),41.2,42.2,43.2,44,44.8
경상북도 예천군 (4790000000),49.4,49.2,49.5,49.9,50.2
경상북도 봉화군 (4792000000),53.4,54.2,55.1,56,56.8
경상북도 울진군 (4793000000),48.7,49.3,50,50.7,51.3
경상북도 울릉군 (4794000000),49.4,50,51.1,51.3,51.9
