행정구역,2018년12월_평균연령,2019년12월_평균연령,2020년12월_평균연령,2021년12월_평균연령,2022년12월_평균연령
부산광역시  (2600000000),43.9,44.5,45.1,45.6,46.1
부산광역시 중구 (2611000000),48.9,49.7,50.2,50.3,50.7
부산광역시 서구 (2614000000),47.3,47.9,48.4,48.7,49
부산광역시 동구 (2617000000),48.6,48.9,49.3,49.5,49.9
부산광역시 영도구 (2620000000),48.4,49.2,50.1,50.5,51.1
부산광역시 부산진구 (2623000000),44.4,44.9,45.3,45.7,46
부산광역시 동래구 (2626000000),43.5,43.8,44.3,44.7,44.9
부산광역시 남구 (2629000000),43.9,44.4,45,45.6,46.1
부산광역시 북구 (2632000000),43,43.8,44.7,45.3,46
부산광역시 해운대구 (2635000000),42.9,43.5,44.1,44.7,45.3
부산광역시 사하구 (2638000000),43.6,44.4,45.3,45.9,46.6
부산광역시 금정구 (2641000000),44.8,45.5,46.2,46.7,47.4
부산광역시 강서구 (2644000000),38.4,38.6,38.8,39.1,39.6
부산광역시 연제구 (2647000000),43.8,44.3,44.9,45.4,46.1
부산광역시 수영구 (2650000000),45.1,45.6,46,46.4,46.8
부산광역시 사상구 (2653000000),44,44.8,45.7,46.4,47
부산광역시 기장군 (2671000000),40.5,41.2,41.5,42.1,42.7
