행정구역,2018년12월_평균연령,2019년12월_평균연령,2020년12월_평균연령,2021년12월_평균연령,2022년12월_평균연령
인천광역시  (2800000000),41.1,41.6,42.3,42.8,43.3
인천광역시 중구 (2811000000),41.5,41.3,41.7,42,42.2
인천광역시 동구 (2814000000),45.3,46.2,47.3,47.6,48.1
인천광역시 미추홀구 (2817700000),42.7,43.4,44,44.4,44.9
인천광역시 연수구 (2818500000),38.7,39,39.3,39.8,40.4
인천광역시 남동구 (2820000000),40.5,41.2,42,42.7,43.5
인천광역시 부평구 (2823700000),41.7,42.4,43.3,43.9,44.4
인천광역시 계양구 (2824500000),41.2,42,43,43.7,44.5
인천광역시 서구 (2826000000),38.9,39.5,40.2,40.6,40.8
인천광역시 강화군 (2871000000),51.7,52.3,52.8,53.4,54
인천광역시 옹진군 (2872000000),48.3,49.1,49.9,50.7,51.2
