青沥备开,2018斥12岿_乞闭楷飞,2019斥12岿_乞闭楷飞,2020斥12岿_乞闭楷飞,2021斥12岿_乞闭楷飞,2022斥12岿_乞闭楷飞
面没合档  (4300000000),42.9,43.5,44.1,44.7,45.2
面没合档 没林矫 (4311000000),40,40.6,41.1,41.6,42.2
面没合档 没林矫 惑寸备 (4311100000),41.9,42.4,42.5,42.9,43.4
面没合档 没林矫 辑盔备 (4311200000),40.8,41.7,42.7,43.3,43.8
面没合档 没林矫 蕊傣备 (4311300000),39,39.4,39.8,40.3,40.8
面没合档 没林矫 没盔备 (4311400000),38.7,39.3,40,40.5,41.2
面没合档 面林矫 (4313000000),44.4,45,45.6,46.2,46.8
面没合档 力玫矫 (4315000000),45.3,46,46.8,47.5,48
面没合档 焊篮焙 (4372000000),52.2,53.2,54,54.7,55.3
面没合档 苛玫焙 (4373000000),49.7,50.3,51.1,51.9,52.7
面没合档 康悼焙 (4374000000),50.2,50.9,51.9,53,53.9
面没合档 刘乞焙 (4374500000),41.9,42.5,43.4,44.2,44.7
面没合档 柳玫焙 (4375000000),42.3,42.5,42.8,43.3,43.8
面没合档 鲍魂焙 (4376000000),52.9,53.4,54.2,55.5,56.3
面没合档 澜己焙 (4377000000),45.5,46.2,47.2,47.9,48.5
面没合档 窜剧焙 (4380000000),51,51.9,52.8,53.7,54.5
