행정구역,행정구역(지자체구),행정구역(번호),2018년12월_평균연령,2019년12월_평균연령,2020년12월_평균연령,2021년12월_평균연령,2022년12월_평균연령
서울특별시 종로구 (1111000000),서울종로구,1111000000,44.2,44.7,45.3,45.4,45.6
서울특별시 중구 (1114000000),서울중구,1114000000,44.6,45,45.6,45.8,46.1
서울특별시 용산구 (1117000000),서울용산구,1117000000,43.6,44,44.3,44.3,44.4
서울특별시 성동구 (1120000000),서울성동구,1120000000,42,42.5,43,43.4,43.8
서울특별시 광진구 (1121500000),서울광진구,1121500000,41.4,41.9,42.4,42.9,43.3
서울특별시 동대문구 (1123000000),서울동대문구,1123000000,43.3,43.7,44.1,44.3,44.5
서울특별시 중랑구 (1126000000),서울중랑구,1126000000,43.5,44.2,44.8,45.3,45.7
서울특별시 성북구 (1129000000),서울성북구,1129000000,42.5,42.9,43.3,43.7,44
서울특별시 강북구 (1130500000),서울강북구,1130500000,44.7,45.4,46.2,46.7,47.3
서울특별시 도봉구 (1132000000),서울도봉구,1132000000,43.9,44.6,45.5,46.1,46.7
서울특별시 노원구 (1135000000),서울노원구,1135000000,41.9,42.6,43.3,43.9,44.4
서울특별시 은평구 (1138000000),서울은평구,1138000000,43.1,43.7,44.2,44.7,45.1
서울특별시 서대문구 (1141000000),서울서대문구,1141000000,43,43.4,43.6,43.9,44.1
서울특별시 마포구 (1144000000),서울마포구,1144000000,41.2,41.6,42,42.2,42.6
서울특별시 양천구 (1147000000),서울양천구,1147000000,41,41.6,42.2,42.8,43.4
서울특별시 강서구 (1150000000),서울강서구,1150000000,41.4,42,42.6,43.1,43.5
서울특별시 구로구 (1153000000),서울구로구,1153000000,42.5,43,43.7,44.2,44.6
서울특별시 금천구 (1154500000),서울금천구,1154500000,43.4,43.9,44.5,44.8,45.2
서울특별시 영등포구 (1156000000),서울영등포구,1156000000,42.5,42.8,43,43.2,43.4
서울특별시 동작구 (1159000000),서울동작구,1159000000,42.1,42.6,43.1,43.5,43.8
서울특별시 관악구 (1162000000),서울관악구,1162000000,41.7,42.2,42.6,42.9,43.1
서울특별시 서초구 (1165000000),서울서초구,1165000000,40.4,40.8,41.3,41.7,42.1
서울특별시 강남구 (1168000000),서울강남구,1168000000,40.5,40.9,41.4,41.9,42.3
서울특별시 송파구 (1171000000),서울송파구,1171000000,40.7,41.2,41.7,42.2,42.6
서울특별시 강동구 (1174000000),서울강동구,1174000000,42.1,42.5,42.6,43,43.4
부산광역시 중구 (2611000000),부산중구,2611000000,48.9,49.7,50.2,50.3,50.7
부산광역시 서구 (2614000000),부산서구,2614000000,47.3,47.9,48.4,48.7,49
부산광역시 동구 (2617000000),부산동구,2617000000,48.6,48.9,49.3,49.5,49.9
부산광역시 영도구 (2620000000),부산영도구,2620000000,48.4,49.2,50.1,50.5,51.1
부산광역시 부산진구 (2623000000),부산부산진구,2623000000,44.4,44.9,45.3,45.7,46
부산광역시 동래구 (2626000000),부산동래구,2626000000,43.5,43.8,44.3,44.7,44.9
부산광역시 남구 (2629000000),부산남구,2629000000,43.9,44.4,45,45.6,46.1
부산광역시 북구 (2632000000),부산북구,2632000000,43,43.8,44.7,45.3,46
부산광역시 해운대구 (2635000000),부산해운대구,2635000000,42.9,43.5,44.1,44.7,45.3
부산광역시 사하구 (2638000000),부산사하구,2638000000,43.6,44.4,45.3,45.9,46.6
부산광역시 금정구 (2641000000),부산금정구,2641000000,44.8,45.5,46.2,46.7,47.4
부산광역시 강서구 (2644000000),부산강서구,2644000000,38.4,38.6,38.8,39.1,39.6
부산광역시 연제구 (2647000000),부산연제구,2647000000,43.8,44.3,44.9,45.4,46.1
부산광역시 수영구 (2650000000),부산수영구,2650000000,45.1,45.6,46,46.4,46.8
부산광역시 사상구 (2653000000),부산사상구,2653000000,44,44.8,45.7,46.4,47
부산광역시 기장군 (2671000000),부산기장군,2671000000,40.5,41.2,41.5,42.1,42.7
대구광역시 중구 (2711000000),대구중구,2711000000,44.4,44.7,45,45.1,44.4
대구광역시 동구 (2714000000),대구동구,2714000000,43.7,44.4,45.1,45.6,46.1
대구광역시 서구 (2717000000),대구서구,2717000000,46.5,47.4,48.3,49.1,49.8
대구광역시 남구 (2720000000),대구남구,2720000000,46.7,47.2,47.6,48.1,48.5
대구광역시 북구 (2723000000),대구북구,2723000000,41,41.7,42.3,42.9,43.6
대구광역시 수성구 (2726000000),대구수성구,2726000000,41.6,42.1,42.7,43.3,43.8
대구광역시 달서구 (2729000000),대구달서구,2729000000,41.2,41.9,42.6,43.4,44
대구광역시 달성군 (2771000000),대구달성군,2771000000,39.3,39.8,40.4,41,41.6
인천광역시 중구 (2811000000),인천중구,2811000000,41.5,41.3,41.7,42,42.2
인천광역시 동구 (2814000000),인천동구,2814000000,45.3,46.2,47.3,47.6,48.1
인천광역시 미추홀구 (2817700000),인천미추홀구,2817700000,42.7,43.4,44,44.4,44.9
인천광역시 연수구 (2818500000),인천연수구,2818500000,38.7,39,39.3,39.8,40.4
인천광역시 남동구 (2820000000),인천남동구,2820000000,40.5,41.2,42,42.7,43.5
인천광역시 부평구 (2823700000),인천부평구,2823700000,41.7,42.4,43.3,43.9,44.4
인천광역시 계양구 (2824500000),인천계양구,2824500000,41.2,42,43,43.7,44.5
인천광역시 서구 (2826000000),인천서구,2826000000,38.9,39.5,40.2,40.6,40.8
인천광역시 강화군 (2871000000),인천강화군,2871000000,51.7,52.3,52.8,53.4,54
인천광역시 옹진군 (2872000000),인천옹진군,2872000000,48.3,49.1,49.9,50.7,51.2
광주광역시 동구 (2911000000),광주동구,2911000000,45.6,45.5,45.4,45.5,45.4
광주광역시 서구 (2914000000),광주서구,2914000000,40.4,41.1,41.8,42.4,43
광주광역시 남구 (2915500000),광주남구,2915500000,42,42.4,43,43.3,43.9
광주광역시 북구 (2917000000),광주북구,2917000000,40.9,41.6,42.2,42.7,43.3
광주광역시 광산구 (2920000000),광주광산구,2920000000,37,37.6,38.3,38.9,39.5
대전광역시 동구 (3011000000),대전동구,3011000000,43.3,44,44.6,45.1,45.6
대전광역시 중구 (3014000000),대전중구,3014000000,43.4,44.1,44.9,45.5,46
대전광역시 서구 (3017000000),대전서구,3017000000,39.8,40.3,40.9,41.4,41.9
